plain_text_def,plain_text_term,gpt-3.5-turbo terms,gpt-4 terms
"[Schnyder wood, Schnyder property]

Given a planar triangulation G, a Schnyder wood is an
orientation and coloring of the edges of G with the colors 0, 1,
2 where each inner vertex v satisfies the  Schnyder
  property , (see Figure <ref> where each color is represented
by a different type of arrow):



  * Vertex v has out-degree one in each color.

  * The edges e_0(v), e_1(v), e_2(v) leaving v in colors
  0, 1, 2, respectively, occur in counterclockwise order.

  * Each edge entering v in color i enters v in the
  counterclockwise sector from e_i+1(v) to e_i-1(v) (where
  i+1 and i-1 are understood modulo 3).

",Schnyder wood,Schnyder wood###Schnyder property,Schnyder wood###Schnyder property
"[Toroidal Schnyder wood]
  Given a toroidal graph G, a (toroidal) Schnyder wood of G
  is an orientation and coloring of the edges of G with the colors
  0, 1, 2, where every edge e is oriented in one direction or
  in two opposite directions (each direction having a distinct color),
  satisfying the following (see example of
  Figure <ref>):



  (T1) Every vertex v satisfies the Schnyder property (see Definition <ref>)

  (T2) Every monochromatic cycle of color i intersects at least one
  monochromatic cycle of color i-1 and at least one monochromatic
  cycle of color i+1.

",(toroidal) Schnyder wood,toroidal Schnyder wood###toroidal graph###orientation###coloring###edges###colors###directions###Schnyder property###monochromatic cycle,Toroidal Schnyder wood###Schnyder property###monochromatic cycle
"[Planar Schnyder wood]
  Given a planar map G. Let x_0, x_1, x_2 be three distinct
  vertices occurring in counterclockwise order on the outer face of
  G. The suspension G^σ is obtained by attaching a
  half-edge that reaches into the outer face to each of these special
  vertices.  A (planar) Schnyder wood rooted at x_0, x_1, x_2 is
  an orientation and coloring of the edges of G^σ with the
  colors 0, 1, 2, where every edge e is oriented in one
  direction or in two opposite directions (each direction having a
  distinct color), satisfying the following (see example of
  Figure <ref>):



  (P1) Every vertex v satisfies the Schnyder property and the
  half-edge at x_i is directed outwards and colored i

  (P2) There is no monochromatic cycle.

",suspension;(planar) Schnyder wood,Planar Schnyder wood###planar map###suspension###Schnyder wood###orientation###coloring###edges###colors###directions###Schnyder property###half-edge###monochromatic cycle,Planar Schnyder wood###Schnyder property###monochromatic cycle
"[Region vector]
  The i-th coordinate of the region vector of a vertex v of
  G^∞ is equal to v_i = d_i(v,z_i(v)) +  N×(f_i+1(L_i+1(v))-f_i-1(L_i-1(v))) (see
  Figure <ref>).
",region vector,region vector###vertex###G^∞###coordinate###d_i###z_i(v)###N###f_i+1###L_i+1(v)###f_i-1###L_i-1(v)###Figure,region vector
"
An Euler system C in a 4-regular graph F is labeled by
giving a trio of functions ϕ_C, χ_C, ψ_C mapping V(F)
into some commutative ring R.
",labeled,"Euler system C###4-regular graph F###labeled###trio of functions ϕ_C, χ_C, ψ_C###mapping###commutative ring R",Euler system###ϕ_C###χ_C###ψ_C
"
Let G be a labeled simple graph with a vertex v. The
labeled local complement G_λ^v is the labeled graph
obtained from G by toggling adjacencies between distinct neighbors of v
and making the following label changes: ϕ_G_λ^v(v)=ψ
_G(v), ψ_G_λ^v(v)=ϕ_G(v), and for each w≠ v that
neighbors v in G, χ_G_λ^v(w)=ψ_G(w) and
ψ_G_λ^v(w)=χ_G(w).
",labeled local complement,labeled local complement G_λ^v###labeled graph###toggling adjacencies###distinct neighbors###label changes###ϕ_G_λ^v(v)###ψ_G(v)###ψ_G_λ^v(v)###ϕ_G(v)###w###neighbors v###χ_G_λ^v(w)###ψ_G(w)###χ_G(w),labeled local complement
"
If v∈ V(G) then the labeled local complement of P∈𝒫_λ(G) is the labeled partition P_λ^v
∈𝒫(G_λ^v) obtained from P by making the following
changes: v∈ϕ(P_λ^v) if and only if v∈ψ(P), v∈ψ(P_λ^v) if and only if v∈ϕ(P), and if w is a neighbor
of v in G then w∈χ(P_λ^v) if and only if w∈ψ(P),
and w∈ψ(P_λ^v) if and only if w∈χ(P).
",labeled local complement,"labeled local complement, P, 𝒫_λ(G), labeled partition, P_λ^v, 𝒫(G_λ^v), ϕ(P_λ^v), ψ(P), ϕ(P), ψ(P_λ^v), χ(P_λ^v), χ(P)",labeled local complement
"
Let G be an R-labeled simple graph, and suppose y∈
R. The labeled interlace polynomial of G is the sum

    Q_λ(G)=∑_P∈𝒫_λ(G)(
    
    
    ∏_v∈ϕ(P)
    ϕ_G(v))  (
    
    
    ∏_v∈χ(P)
    χ_G(v))  (
    
    
    ∏_v∈ψ(P)
    ψ_G(v))  y^ν(G_P).


",labeled interlace polynomial,labeled interlace polynomial###G###R###𝒫_λ(G)###P###ϕ(P)###ϕ_G(v)###χ(P)###χ_G(v)###ψ(P)###ψ_G(v)###y^ν(G_P),labeled interlace polynomial
"
If G is a labeled simple graph with some looped vertices
then its simplification is the labeled simple graph G_simp obtained
by interchanging χ(v) and ψ(v) at each looped vertex, and then
removing all loops.
",simplification,simplification###labeled simple graph###looped vertices###G_simp###interchanging###χ(v)###ψ(v)###removing loops,simplification###labeled simple graph G_simp
"
Let G be a labeled simple graph, and let 𝒫_λ0
(G)={P∈𝒫_λ(G)


|

ψ(P)=∅}. The 2-label interlace polynomial of G is

    q_λ(G)=∑_P∈𝒫_λ0(G)(
    
    
    ∏_v∈ϕ(P)
    ϕ_G(v))  (
    
    
    ∏_v∈χ(P)
    χ_G(v))  y^ν(G_P).


",2-label interlace polynomial,"𝒫_λ0, q_λ, ψ, ϕ, ϕ_G, χ, χ_G, y, ν, G_P",2-label interlace polynomial
"
The vertex-nullity interlace polynomial of G is

    q_N(G)=∑_S⊆ V(G)(y-1)^ν(G[S]).


",vertex-nullity interlace polynomial,vertex-nullity interlace polynomial###G###q_N(G)###V(G)###S,vertex-nullity interlace polynomial
"
The interlace polynomial of a graph G is

    q(G)=∑_S⊆ V(G)(x-1)^| S| -ν(G[S])
    (y-1)^ν(G[S]).


",interlace polynomial,interlace polynomial###graph###V(G)###S###ν(G[S]),interlace polynomial
"
Let H and K be disjoint simple graphs, each with at least two
vertices. Suppose S⊆ V(H) and T⊆ V(K). Then the
join of H and K with respect to S and T is the graph
(H,S)∗(K,T)=(K,T)∗(H,S) obtained from the union H∪ K by adding
edges connecting all the elements of S to all the elements of T. The sets
V(H) and V(K) constitute a split of (H,S)∗(K,T). If H and
K are labeled then the vertices of (H,S)∗(K,T) inherit labels directly
from H and K.
",join;split,join###disjoint simple graphs###vertices###union###split###labeled###inherit labels,"join of H and K with respect to S and T###split of (H,S)∗(K,T)"
"
Let G be a graph with a split G=(H,S)∗(K,T). Then the
split reduction of G with respect to H is the graph obtained from
K by adjoining one new vertex h, with N(h)=T. That is, the split
reduction of (H,S)∗(K,T) with respect to H is ({h},{h})∗(K,T).
",split reduction,split reduction###graph###split###vertex###N(h),split reduction
"
Suppose H is a labeled simple graph and S⊆ V(H). The
type of P∈ P_λ(H) (with respect to S) is 1, 2 or 3,
according to which of ν(H_P^S),ν(H_P),ν(H_P^Sℓ)
(respectively) is the largest. The labels of H (with respect to S)
are the following:

    ϕ(H,S)=
    
    
    
    ∑_P∈𝒫_λ(H)
    of
    type 1
    (
    
    
    ∏_v∈ϕ(P)
    ϕ_G(v))  (
    
    
    ∏_v∈χ(P)
    χ_G(v))  (
    
    
    ∏_v∈ψ(P)
    ψ_G(v))  y^ν(H_P),




    χ(H,S)=
    
    
    
    ∑_P∈𝒫_λ(H)
    of
    type 2
    (
    
    
    ∏_v∈ϕ(P)
    ϕ_G(v))  (
    
    
    ∏_v∈χ(P)
    χ_G(v))  (
    
    
    ∏_v∈ψ(P)
    ψ_G(v))  y^ν(H_P)-1

and


    ψ(H,S)=
    
    
    
    ∑_P∈𝒫_λ(H)
    of
    type 3
    (
    
    
    ∏_v∈ϕ(P)
    ϕ_G(v))  (
    
    
    ∏_v∈χ(P)
    χ_G(v))  (
    
    
    ∏_v∈ψ(P)
    ψ_G(v))  y^ν(H_P).


",type;labels,"P, S, type 1, type 2, type 3, ν(H_P^S), ν(H_P), ν(H_P^Sℓ), ϕ(H,S), χ(H,S), ψ(H,S), 𝒫_λ(H), ϕ(P), ϕ_G(v), χ(P), χ_G(v), ψ(P), ψ_G(v), y, ν(H_P)","type of P∈ P_λ(H)###labels of H###ϕ(H,S)###χ(H,S)###ψ(H,S)"
"
The split width of a graph G, sw(G), is the largest integer that
satisfies these conditions.

1. sw(G)≤| V(G)|.

2. If G=(H,S)∗(K,T) then sw(G)≤max{| V(H)|
,sw(({h_S},{h_S})∗(K,T))}.
",split width,"sw(G)###graph G###split width###integer###conditions###V(G)###G=(H,S)∗(K,T)###max###V(H)###(({h_S},{h_S})∗(K,T))",split width of a graph G###sw(G)
" An even [a,b]-factor of a graph is a spanning subgraph H such that d_H(v) is even and a ≤ d_H(v) ≤ b for all v ∈ V(G). ","even [a,b]-factor","even [a,b]-factor###spanning subgraph###d_H(v)###even###a###b###V(G)","even [a,b]-factor"
"  
Call a vertex v∈ B special if e(G_v,A^red)≥1/5^5 n2. Similarly, call a vertex v∈ A special if  e(G_v,B^red)≥1/5^5 n2.
 ",special;special,"special###vertex###B###e(G_v,A^red)###1/5^5 n2###A###e(G_v,B^red)",special
" 
 Given two disjoint sets A,B of vertices in , we say four vertices a_1,a_2∈ A, b_1,b_2∈ B form a red butterfly if up to symmetry the two hyperedges a_1a_2b_1 and a_2b_1b_2 are red in . 

 We denote with |AB|_r (|AB|_b) the number of red (blue) hyperedges in  of the form ab_1b_2 with a∈ A, b_1,b_2∈ B.
 Given three disjoint sets A,B,C of vertices in , we denote with |ABC|_r (|ABC|_b) the number of red (blue) hyperedges of the form abc with a∈ A,b∈ B, c∈ C. 

For W ⊂ V(), v∉, denote G_v,W^blue the blue link graph of v in W, i.e. the graph on W with ab being an edge iff abv is blue in . Analogously, G_v,W^red defines the red link graph. 

For t∈ℕ, we define the complete directed bipartite graph K_t,t to be the directed graph on vertex set A ∪ B with |A|=|B|=t, A and B disjoint, and the arc set {ab |  a∈ A, b∈ B }. 
 ",butterfly,"disjoint sets, vertices, red butterfly, hyperedges, red, blue, complete directed bipartite graph, directed graph, vertex set, arc set","red butterfly###|AB|_r###|AB|_b###|ABC|_r###|ABC|_b###G_v,W^blue###G_v,W^red###complete directed bipartite graph K_t,t"
" 

Suppose that D is digraph and u∈ V(D).  We say that u is satisfactory if |N_1(u)| ≤ |N_2(u)|.  Also, u is a sink if |N_1(u)|=0.  Note that a sink is trivially satisfactory.




Let A = {D | D is a simple directed graph with no satisfactory vertices} be the set of counterexamples to Seymour's Second Neighborhood Conjecture.  Let A' = {D | |E(D)| = min_H∈A |E(H)| } be the set of graphs in A with the fewest number of edges.  Finally, let A” = {D | |V(D)| = min_H∈A' |V(H)| } be the set of graphs in A' with the fewest number of vertices.  We will refer to any element of A” as a minimal criminal .  Note that A” is empty if and only if Conjecture <ref> is true.
",satisfactory;sink;D is a simple directed graph with no satisfactory vertices;minimal criminal,satisfactory###sink###counterexamples###Seymour's Second Neighborhood Conjecture###graphs###edges###vertices###minimal criminal###Conjecture,satisfactory ### sink ### minimal criminal
"

Let D be a digraph.  Suppose that u ∈ V(D).  We define W_D(u)={v | (u,v) ≠∞} to be the walkable neighborhood of u with respect to D. If D is clear from context, we simply write W(u).

Also define A_s,D(u)= |N_1(u)| - |N_2(u)| to be the anti-satisfaction of u.  As usual, if G is clear from context, we simply write A_s(v).  Notice that u is satisfactory if and only if A_s(u) ≤ 0.



Again let D be a directed graph.  Recall that a transitive triangle T is a directed graph on three nodes a,b,c such that (a,b), (a,c), (b,c)∈ E(T).  If (u,v) ∈ E(D), we say that edge (u,v) is the base of a transitive triangle if u and v share a common first neighbor; that is, |N_1(u)∩ N_1(v)| ≥ 1.



    < g r a p h i c s >

Demonstration of an edge that is the base of a transitive triangle



If, for distinct t,u,v,w ∈ V(D), we have that (t,u),(u,w),(t,v),(v,w)∈ E then we call {(t,u),(u,w),(t,v),(v,w)} a 2-directed diamond . We say the edges (t,u), (t,v) are the bases of the 2-directed diamond.



    < g r a p h i c s >

Demonstration of the bases of a 2-directed diamond


",walkable neighborhood;anti-satisfaction;base of a transitive triangle;2-directed diamond;bases,"W_D(u)###A_s,D(u)###A_s(v)###E(T)###N_1(u)###N_2(u)###V(D)###(u,v)###(t,u)###(u,w)###(t,v)###(v,w)###(t,u)###(t,v)",walkable neighborhood###anti-satisfaction###base of a transitive triangle###2-directed diamond###bases of the 2-directed diamond
"
	An edge xy∈ E(G) is called tight if (xy)=r-1.  A clique in G, all of whose edges are tight, is called a tight clique .  A maximal tight clique is a cluster .
",tight;tight clique;cluster,tight###clique###maximal tight clique###cluster,tight###tight clique###cluster
"
	Suppose that G is a graph with (G)≤ r and T V(G) is a cluster of size t. We let S_T = _x∈ T N(x) and define a new graph by converting T∪ S_T into a clique (of size r+1) and deleting all the edges [S_T,V(G)(T∪ S_T)]. In other words we define the folding of G at T by
	
    T = G + S_T2 - [S_T,V(G)(T∪ S_T)],

where, for sets U and V, [U,V]=uvu∈ U, v∈ V.  Also, we define
	
    R_T = ∁G[S_T],

i.e., the graph on S_T whose edges are those not in G.  Note that since T is a maximal tight clique, (̣R)≥ 1.
",folding of G at T,"clique, folding, graph, cluster, size, edges, maximal tight clique",folding of G at T###R_T
"
	Given a graph G, we let μ(G)=2#(G,)+#(G,).  We call triples inducing , of course, triangles , and those inducing , cherries .
",triangles;cherries,μ(G)####triangles###cherries,triples inducing triangles ### cherries
"
	We say that T is foldable if t· e(R)≥μ(R).
",foldable,foldable###,foldable
"
	The lex graph on n vertices and m edges, denoted L(n,m), is the graph with vertex set [n] and edge set consisting of the initial segment of size m according to the lex order on [n]2.  The lex order on 𝒫([n]) is defined by A<B if min(A B)∈ A.  Thus, the first few edges in lex order are
	
    1,2,1,3,1,4,…,1,n,2,3,2,4,…,2,n,3,4,….

",lex graph;lex order,lex graph###vertex set###edge set###lex order###𝒫([n])###A<B###min(A B)###A###B,lex graph###lex order
"
	A threshold graph is a graph that is constructed inductively from K_1 by successively adding either an isolated vertex or a dominating vertex.  We think of the vertex set of a threshold graph on n vertices as [n].  We label the vertices “backwards”, so that vertex n is the initial K_1, vertex n-1 is the first vertex added, and so on.  The code of a threshold graph with n vertices is the binary sequence  of length n-1 such that _i=1 if the vertex i was a dominating vertex when added and _i=0 if it was an isolate.  For a binary sequence ∈0,1^n-1, we let T() denote the threshold graph on [n] with code .  Note that (vertices that correspond to) 1s are adjacent everything to their right and 1s to their left, while 0s are adjacent only to 1s to their left.
	
	We will write an expression such as 1^a0^b1^c… for the sequence consisting of a 1s, b 0s, c 1s, etc.  Also, given sequences  and τ, we write .τ for their concatenation.  Thus, for instance, T(1^40^5) is the join[We define the join of graphs G and H with disjoint vertex sets, denoted G∨ H, to be the graph with vertex set V(G)∪ V(H) and edge set E(G)∪ E(H)∪xyx∈ V(G), y∈ V(H).] of K_4 and  E_6, whereas T(0^61^3)=K_4∪ E_6.  For a binary sequence , we let  be its length.  Also, we let  and  be the number of 0s and 1s, respectively, in .
",threshold graph;code;join,threshold graph###graph###inductively###K_1###isolated vertex###dominating vertex###vertex set###binary sequence###length###isolates###concatenation###join###disjoint vertex sets###edge set###number of 0s###number of 1s,threshold graph###code of a threshold graph###join of graphs
" The
compression of G from x to y , denoted
, is the graph obtained from G by deleting all edges between x and  and adding all
edges from y to . 
",compression of G from x to y,G###compression###x###y,compression
"
	A cluster T is dischargeable if the associated graph R satisfies
	
    ∑_v∈ S (d_R(v)-1)≥ t-1,

	i.e., if 2e(R)≥ s+t-1.
",dischargeable,dischargeable###graph R###∑_v∈ S (d_R(v)-1)###t###2e(R)###s,dischargeable
"
Let α,β be partitions of n. A generalized α-tableau is produced by replacing each dot in the Young diagram of α with a number between 1 and n; if a generalized α-tableau has β_i i's (1 ≤ i ≤ n) it is said to have content β. A generalized α-tableau is said to be semistandard if the numbers are non-decreasing along each row and strictly increasing down each column.
",generalized;tableau;content;semistandard,semistandard###generalized α-tableau###content β###partitions of n###Young diagram,generalized α-tableau###semistandard
"
A cell complex K is a triple K = (,,), where  is a finite non-empty collection of faces ,  is a finite (possibly empty) set of edges , and  is the boundary function that assigns to a face A ∈∪^-1 a cyclic permutation of edges in ∪^-1 (called the boundary of the face) and that satisfies the following conditions:


  * If (A) = a_1⋯ a_n, then (A^-1) = a_n^-1⋯ a_1^-1.

  * If A_1,A_2 ∈ and A_1 ≠ A_2, then (A_1) ≠(A_2).

  * Every e ∈∪^-1 occurs precisely twice among the elements of all boundaries.

  * The complex K is not the union of two disjoint systems satisfying the above conditions.

",cell complex;faces;edges;boundary function,cell complex###faces###edges###boundary function###boundary###A###a_1###a_n###A^-1###a_n^-1###a_1^-1###A_1###A_2###K###disjoint systems,cell complex K###boundary function###boundary of the face
"[Definition 6.3 in <cit.>]
Let K and K' be cell complexes. Then K' is an elementary subdivision of K if K' is obtained from K by one of the following two operations:


  (P1) Two edges a and a^-1 in K are replaced by bc and c^-1b^-1 in all boundaries, where b and c are distinct new edges not belonging to K.

  (P2) A face A in K with boundary a_1⋯ a_pa_p+1⋯ a_n is replaced by two faces, A' and A”, in K' which have boundaries a_1⋯ a_pd and d^-1a_p+1⋯ a_n respectively, where d is a new edge not belonging to K.  

",an elementary subdivision of,elementary subdivision###K###K'###edges###a###a^-1###bc###c^-1b^-1###boundaries###b###c###new edges###face###A###A'###A”###a_1⋯ a_pa_p+1⋯ a_n###d###new edge,elementary subdivision
"
A connected map M is a connected graph Γ embedded in a connected surface Σ (i.e., considered as a subset Γ⊂Σ) such that


  * vertices are represented as distinct points in the surface,

  * edges are represented as continuous curves in the surface only intersecting at vertices (endpoints),

  * the complement Σ∖Γ of Γ inside Σ is a disjoint union of connected components, called the faces of M.
Each face is homeomorphic to an open disc in ^2. 


A map is a disjoint union of connected maps, each embedded in its own surface.
",connected map;faces;map,connected map###connected graph###connected surface###vertices###edges###continuous curves###complement###disjoint union###connected components###faces###homeomorphic###open disc###surface,connected map###faces of M###map
" Let M be a connected map embedded in a surface Σ. The genus g(M) of M is the genus of Σ. 
The Euler genus s(M) of M is the  Euler genus of Σ, i.e., 
    s(M)= 2g(M)    
    
      g(M)

The signed genus g̅(M) of M is the parameter

    g̅(M)=2s(M)-3g(M)= g(M)    
    
      -g(M)

",genus,genus###Euler genus###signed genus,genus g(M) of M ### Euler genus s(M) of M ### signed genus g̅(M) of M
"[Map edge deletion[Definition <ref> coincides with the definition of deletion for generalized maps <cit.>.]]
	Let M=(θ, σ,τ;C)  be a map, and let 
e={a,θ a, σ a, θσ a} be an edge of M. Then the map M\ e obtained from M by deleting e is given by the map (θ',σ',τ';C') in which C'=C∖{a, θ a,σ a, θσ a} and the permutations are defined as follows.
	For any b∈ C',
	
		
  * θ'b=θ b.
				
  * σ'b=σ b.
		
  * τ'b=τ^jb, where j≥ 1 is the minimum positive integer for which τ^jb∉{a,σ a,θ a,θσ a}. 
Equivalently, since a cycle of τ contains at most two crosses among {a,σ a,θ a,θσ a}, 
		
    τ'b=τ b     if τ b∈ C',
    τ^2 b      if τ b∈{a,θ a,σ a,θσ a} and τ^2b∈ C',
    τ^3 b     if τ b,τ^2 b∈{a,θ a,σ a,θσ a}.

		
		
		
  * Empty cycles of τ remain as empty cycles of τ', and τ' has an extra empty cycle for each cycle of τ that contains only crosses in {a,θ a,σ a, θσ a}. 
	
	
	
	
	
",deleting,"edge deletion###map###M###e###M\ e###(θ',σ',τ';C')###C'###a###θ a###σ a###θσ a###b###θ'b###σ'b###τ'b###j###τ^jb###τ^2 b###τ^3 b###Empty cycles###τ###τ'",Map edge deletion
"[Map edge contraction]
	Let M=(θ,σ,τ;C) be a map, and let e={a,θ a, σ a, θσ a} be an edge of M. Then the map M/ e obtained from M by contracting e is the map (θ”,σ”,τ”;C”) in which C”=C∖{a,θ a, σ a, θσ a} and the permutations are defined as follows.
	For any b∈ C”,
	
		
  * θ” b=θ b.
		
  * σ” b=σ b.

		
  * τ”b=
		τ b     if τ b∈ C”,
τθστ b     if τ b∈{a,σ a, θ a, θσ a} and τθστ b∈ C”,
τ(θστ)^2 b     if τ b, τθστ b∈{a,σ a, θ a, σθ a}.
		
		
  * Empty cycles of τ 
remain as empty cycles of τ”, and 
τ” has an extra empty cycle for each cycle of τ that contains only crosses in {a,σ a, θ a, θσ a}.  

	
",contracting,"Map edge contraction###map###edge###contracting###permutations###C###θ###σ###τ###b###θ""###σ""###τ""###C""###τθστ###Empty cycles###crosses",Map edge contraction
"
Let = (x;…, x_-2,x_-1, x_0,x_1,x_2,…) and = (y; …, y_-2,y_-1,y_0,y_1,y_2,…) 
be infinite sequences of indeterminates (variables indexed by ℤ apart from the first). The surface Tutte polynomial of a map M=(V,E,F) is the multivariate polynomial 

    (M;,) := ∑_A ⊆ Ex^n^*(M/A)y^n(M\ A^c)∏_conn. cpts
     M_i of M/Ax_g̅(M_i)∏_conn. cpts
     M_j of M\ A^cy_g̅(M_j),





where A^c = E\ A for A ⊆ E and g̅(M) is the signed genus of M (negative when non-orientably embedded, positive when orientably embedded).
",surface Tutte polynomial,Tutte polynomial###map###surface Tutte polynomial###multivariate polynomial###indeterminates###variables###sequences###infinite sequences###indexed###polynomial###sum###subset###complement###signed genus###negative###non-orientably embedded###positive###orientably embedded,surface Tutte polynomial###signed genus
"
Let _q^t(V)=(n-1,q^t) and let W be an _q-vector subspace of V. If _ _q(W)=_ _q^t(V)=n and W _q^t=V, then Σ'={ w _q^t w∈ W^*} is a canonical subgeometry of _q^t(V).
",canonical subgeometry,"_q^t, _q-vector subspace, _q^t(V), W, _q^t, V, Σ', W^*",_q^t(V)###_q-vector subspace###_ _q(W)###_ _q^t(V)###W _q^t###canonical subgeometry
"[<cit.>]

A point set L of _q^t(_q^t^2)=(1,q^t), t≥ 2, is called a linear set of pseudoregulus type if L is projectively equivalent to

    𝕃:={ (λ,λ^q)_q^tλ∈_q^t^*}.

",linear set of pseudoregulus type,linear set of pseudoregulus type###projectively equivalent###,linear set of pseudoregulus type
"For P(X⃗) ∈[X⃗] and
non-negative vector , the th (Hasse) derivative of
P, denoted P^(i⃗)(X⃗),
is the coefficient of 𝐙^ in the
polynomial P̃(X⃗, Z⃗)  P(X⃗ + Z⃗) ∈[, Z⃗].",(Hasse) Derivative,"Hasse derivative###P###X⃗###non-negative vector###th###derivative###P^(i⃗)(X⃗)###coefficient###𝐙^###polynomial###P̃(X⃗, Z⃗)###P(X⃗ + Z⃗)###Z⃗",(Hasse) derivative
"For P(X⃗) ∈[X⃗] and a⃗∈^n,
the multiplicity of P at ∈^n,
denoted (P,), is the largest integer M such that
for every
non-negative vector  with () < M, we have
P^()() = 0
(if M may be taken
arbitrarily large, we set (P, ) = ∞).",Multiplicity,multiplicity###non-negative vector###integer###arbitrarily large###,multiplicity of P at
"A function E : ^n ×^d ↦^m is a
(k,)-extractor if for every (n,k)-source , the
distribution of E(,_d) is -close to uniform, where _d
is a random variable distributed uniformly over ^d, and , _d
are independent. An extractor
is called explicit if it can be computed in polynomial time.",Extractor,extractor###explicit,"(k,)-extractor###explicit"
"
Let G be a graph, and let G⃗ be an arbitrary orientation of G.


  * A k-correspondence assignment for G is a function C that to every edge e∈ E(G⃗) assigns an injective (and not necessarily total) function C_e:[k]→ [k].

  * A C-coloring of G is a function f:V(G)→[k] such that for every e=uv∈ E(G⃗), either f(u)∉(C_e), or C_e(f(u))≠ f(v).

  * The correspondence chromatic number of G is the smallest integer k such that G is C-colorable
for every k-correspondence assignment C.

",k-correspondence assignment;C-coloring;correspondence chromatic number,k-correspondence assignment###C-coloring###correspondence chromatic number###G###G⃗###graph###orientation###E(G⃗)###edge###injective###total###function###C_e###[k]###f###V(G),k-correspondence assignment###C-coloring###correspondence chromatic number
"
For a subset Σ⊆[d]×[n],
let π_Σ be the restriction of π to the matrices supported on Σ.
We will say that π_Σ is a supportive restriction of π
if its image is a subset of the tropical torus ^[n]d-1 having dimension d(n-d) and its fibers
are single orbits of the left diagonal ^d action on tropical matrices
(which acts by adding constants to rows). 
",supportive restriction,subset###Σ###restriction###π_Σ###matrices###supported###supportive restriction###image###subset###tropical torus###dimension###d(n-d)###fibers###single orbits###left diagonal###^d action###tropical matrices###acts###adding constants###rows,supportive restriction of π###tropical torus###left diagonal ^d action on tropical matrices
"

Let Γ and Ψ be graphs. The categorical product Γ×Ψ of Γ and Ψ and the lexicographic product Γ[Ψ] of Γ by Ψ are both defined to have vertex set V(Γ) × V(Ψ). Their edge sets are defined as follows:

    E(Γ×Ψ) := {{(u,x),(v,y)}: }


    E([Ψ]) := {{(u,x), (v,y)}: }.

The deleted lexicographic product of  by Ψ, denoted by [Ψ]-d where d is the order of Ψ, is obtained from [Ψ] by deleting all edges of the form {(u,x),(v,x)} with {u,v}∈ E() and x ∈ V(Ψ). (The categorical product of graphs is also known as the Kronecker product, direct product and tensor product in the literature.)
",categorical product;lexicographic product;deleted lexicographic product,categorical product###lexicographic product###deleted lexicographic product###Kronecker product###direct product###tensor product,categorical product###lexicographic product###deleted lexicographic product###Kronecker product###direct product###tensor product
"
With the above notation,
0pt

  * G is always transitive;

  * G is primitive if and only if H acts irreducibly on V
(that is, leaves invariant no non-zero proper subspace of V);

  * G is basic if and only if H acts primitively on V (that
is, preserves no non-trivial direct sum decomposition of V).

",irreducibly;primitively,transitive###primitive###irreducibly###basic###primitively###preserves###direct sum decomposition###,primitive###basic
"
  Suppose P is a polyhedron and F is a face. The feasible cone of P at F is:

    (F,P) = {: x + δ∈ P for sufficiently small δ},

where x is any relative interior point of F.  (It can be checked that the definition is independent from the choice of x.) 
The pointed feasible cone of P at F is 

    ^p(F,P) = (F,P)/(F) .

",feasible cone;pointed feasible cone,polyhedron###face###feasible cone###pointed feasible cone###relative interior point###independent,feasible cone of P at F ### pointed feasible cone of P at F
"
For i=1,2, let E_i⊂[n]^(2) be a set of pairs of elements of V:=[n]. Let G be the ordered triple G:=(V,E_1,E_2); we call this object a double graph . Jigsaw percolation with input G evolves at discrete times t=0,1,… according to the following algorithm. At time t there is a partition _t={C_t^1,…,C_t^k_t} of the vertex set [n], which is constructed inductively as follows:


  * We take k_0=n and C_0^i = {i} for all 1≤ i≤ n. That is, at time 0 we begin with every vertex in a separate set of the partition.

  * At time t≥ 0, construct a graph _t on vertex set _t by joining C_t^i to C_t^j if there exist edges e_1∈ E_1 and e_2∈ E_2 such that

    e_ℓ∩ C_t^k ≠∅

for each of the four choices of ℓ∈{1,2} and k∈{i,j}.


  * If E(_t)=∅, then STOP. Otherwise, construct the partition

    _t+1={C_t+1^1,…,C_t+1^k_t+1}

corresponding to the connected components of _t, so each part C_t+1^i is a union of those parts of _t corresponding to a component of _t.

  * If |_t+1|=1 then STOP. Otherwise, go to step 2. 

Since |_t| is strictly decreasing, the algorithm terminates in time at most n2. We denote the final partition by _∞=(C_∞^1,…,C_∞^k_∞). We say that there is percolation , or that the double graph is solved , if _∞={V}, i.e., if we stop in step (4).
",double graph;Jigsaw percolation;percolation;solved,double graph###Jigsaw percolation###partition###vertex set###edges###connected components###percolation###solved,double graph###percolation###the double graph is solved
"
A set U⊂[n] is internally spanned by G if the double graph G^U:=(U,E_1^U,E_2^U) percolates, where E_i^U is the edge set of the induced subgraph of G_i on vertex set U, for i=1,2 (that is, E_i^U:=E(G_i[U])). We write I(G,m) for the event that V(G) contains an internally spanned set of size at least m.
",internally spanned,"internally spanned set###I(G,m)","internally spanned set###I(G,m)"
