True Term Num,Extracted Term Num,TP,Cut Off,Too Long,Split Term,expected,extracted
2,29,0,0,0,0,parallel class;parallel,Hamiltonian alternating cycles###vertex disjoint graphs###c.g.s.###good pair###exterior edge###red###blue###sequence of edges###V(C_1)###V(C_2)###u_0###v_0###u_1###v_1###u_i###v_i###c(u_jv_j)###c(u_j+1v_j+1)###j###i###l(C_1)###l(C_2)###k###P_u_0v_0###P_zw###zw###e_1###e_2###P_u_0v_0
3,2,0,0,6,3,red-singular;blue-singular;singular;red-singular;blue-singular;singular,"red-singular, blue-singular, singular###red-singular, blue-singular, singular"
1,7,1,0,0,1,good cycle,good cycle###vertex disjoint###2-edge-colored graphs###pairwise###exterior###E⊕###4-cycle
2,7,2,0,0,2,quantum c-coloring;quantum chromatic number,quantum c-coloring###graph G###d-dimensional orthogonal projectors###completeness###orthogonality###quantum chromatic number###Qchrom
3,6,2,0,2,3,orthogonal representation;orthogonal rank;flat,orthogonal representation###graph G###complex orthogonal rank###ξ(G)###d-dimensional orthogonal representation###flat
1,6,1,2,0,1,aperiodic,span###d###r###n###B(z)###aperiodic
2,19,0,6,1,1,the smooth inverse-function schema;aperiodic,smooth inverse-function schema###analytic###neighbourhood###conditions###function###ϕ(u)###analytic at 0###ϕ(0)###[u^n]###ϕ_0###ϕ_1###u###open disc of convergence###R###positive solution###τ###characteristic equation###aperiodic function###u###
4,11,2,8,1,3,a weight;regular;inversive;C-acceptable,C###T###V###E###w(x)###x###y###C-acceptable###inversive edges###regular###sign
2,6,0,0,3,1,v;w;v;w;w;v,eigenvalue###right eigenvector###left eigenvector###normalized###perturbation###condition number
2,2,2,0,0,2,parent;child,parent###child
1,4,1,0,0,1,child-bijective,child-bijective###labelled digraph homomorphism###vertices###bijectively
1,2,0,0,1,1,bidirectional ballot sequence,bidirectional ballot sequences###B_n
2,5,2,0,0,2,atom;contents,atom###arch system###concatenation###outermost arch###contents
1,5,1,0,0,1,Wilf-equivalent,Wilf-equivalent###bijection###size###generating functions###equal
1,2,1,0,0,1,cohorts,equivalence relation###cohorts
1,5,1,0,0,1,bipartite,Coxeter groups###bipartite###c-bicluster fan###linearly isomorphic###c-biCambrian fan
1,5,0,0,1,1,bipartite,c-bisortable elements###bipartite c###bijection###pairs###twin c-clusters
1,4,0,0,1,1,disjoint,Coxeter group###simple generators###ordered pairs###disjoint subsets
3,4,2,1,0,2,circuit walk of length k;circuit distance;circuit diameter,circuit walk###circuit distance###circuit diameter###polyhedron
1,6,0,0,1,1,stoss;stoss,stoss complex###d-dimensional###simplicial complex###k vertices###complete (d-1)-skeleton###acyclic
1,3,1,0,0,1,rank,rank###_L a###join-irreducible
1,4,1,0,0,1,Scarf complex,Scarf complex###lattice###join###atoms
1,2,1,0,0,1,maximal,maximal###projective dimension
1,6,0,0,1,1,stoss;stoss,stoss complex###d-dimensional###simplicial complex###k vertices###complete (d-1)-skeleton###acyclic
1,4,1,0,0,1,amalgamation,amalgamation###finite lattices###order###set
1,4,1,0,0,1,axial function,axial function###graph connection pair###pairwise linearly independent###positive constants###
2,3,2,0,0,2,k-independent;effective,k-independent###effective###1-skeleton
1,13,1,1,0,1,embedding,embedding###1 skeleton###Γ###α###θ###V_Γ###n###oriented edge###pq###E_Γ###positive constant###c_pq###α(pq)
1,5,1,1,0,1,trivial normal holonomy,subskeleton###trivial normal holonomy###holonomy map###trivial###loops
2,3,1,0,1,1,polarizing;admits a polarization,polarizing###acyclic orientation###generic polarizing covector
1,1,1,0,0,1,Morse function,Morse function###
1,4,1,0,0,1,non-cyclic,non-cyclic###polarization###2-slice###pointed
1,7,1,0,0,1,compatibility system,compatibility system###Γ###θ###λ###E_Γ###λ_e###E_i(e)
1,3,0,1,0,0,generalized axial function,axial function###pre-1-skeleton###axioms###
3,4,3,2,2,3,path-connection number;normal path-connection number;local path-connection number,path-connection number###normal path-connection number###local path-connection number###holonomy
1,6,1,0,0,1,level,level###loop###generalized 1-skeleton###subskeleton###K_γ(e)###N_0^p
1,3,1,0,0,1,blow-up,blow-up###generalized 1-skeleton###subskeleton
1,12,1,0,0,1,k-face,k-face###(polarized) generalized 1-skeleton###Γ###α###θ###λ###k-valent subskeleton###Γ_0###α_0###θ_0###λ_0###b_0
1,1,1,0,0,1,enough k-faces,enough k-faces###
1,3,1,0,0,1,reducible,reducible###polarization###2-faces
1,5,1,0,0,1,dependency graph,dependency graph###mutually independent###events###probability space###vertex set###
1,7,1,1,0,1,"(k,d)-expander","(k,d)-expander###graph###subset###V(G)###size###N_G(X)###X"
1,11,1,1,0,1,k-rainbow-pseudorandom,k-rainbow-pseudorandom###graph###vertices###edges###colored###disjoint subsets###size###colors###appearing###between###n
1,5,1,1,0,1,Stanley sequence,3-free set###Stanley sequence###S(A)###sequence###set
3,4,3,0,0,3,independent;character;repeat factor,Stanley sequence###independent###character###repeat factor
4,7,4,0,0,4,regular;core;shift index;character,regular###Stanley sequence###constants###independent Stanley sequence###character###core###shift index
2,2,0,0,3,2,covered;covered;modulo N,covered by A###covered by A modulo N
2,2,2,0,0,2,modular set modulo N;modular Stanley sequence modulo N,modular set modulo N###modular Stanley sequence modulo N
3,4,3,0,0,3,modular;character;repeat factor,modular###Stanley sequence###character###repeat factor
3,5,3,0,0,3,pseudomodular;core;shift index,pseudomodular###modular Stanley sequence###character###core###shift index
2,2,2,0,0,2,basic;basis,basic###basis
1,7,1,1,0,1,p-Stanley sequence,p-free###p-Stanley sequence###S(A)###A###a_0###a_k###a_n
2,1,0,0,1,1,p-covered by A;p-covered by A modulo N,"p-covered by A, p-term arithmetic progression (p-AP), modulo N"
2,2,0,0,2,2,modular p-free set;modular p-Stanley sequence,modular p-free set modulo N###modular p-Stanley sequence modulo N
2,2,2,0,0,2,basic;basis,basic###basis
2,4,0,1,0,0,elementary dual equivalence;dual equivalent;dual equivalent,dual equivalence###permutation###standard tableau###content reading words
1,7,1,1,0,1,"signed, colored graph of type (n,N)","signed, colored graph of type (n,N)###signature function###vertex set###distinct vertices###collection###pairs###graph"
1,1,0,1,0,0,"dual equivalence graph of type (n,N)",dual equivalence graph###
2,7,2,1,1,2,morphism;isomorphism,"morphism###signed, colored graphs###type###map###isomorphism###bijection###vertex sets"
1,5,0,2,0,0,admits an i-neighbor,"vertex###signed, colored graph###type###admits###i-neighbor"
1,9,1,1,0,1,k-ribbon word,"k-ribbon word###word###non-decreasing sequence###integers###length###Des_k(w,c)###integers###integers###Des_k(w,c)"
1,13,0,2,0,0,i-package of w,"vertex###connected component###signed, colored graph###type###i-package###axioms###component###package###graph###vertex of V###(V,σ,E)###(σ_1, …, σ_, σ_, …, σ_N-1)###E_2 ∪⋯∪E_ ∪E_ ∪⋯∪E_"
2,2,0,3,0,0,i-incompatible;i-compatible,compatible###incompatible
1,3,0,0,0,0,satisfies axiom 4',ax4'a###ax4'b###ax4'c###
1,4,1,0,0,1,D graph,D graph###locally Schur positive graph###dual equivalence axioms###axiom 4'
1,5,1,0,0,1,Multiplicative Derivative,multiplicative derivative###direction###function###element###satisfying###
1,1,0,0,1,1,Gowers norm,Gowers norm of order d###
1,1,0,0,1,1,Additive Derivative,"additive derivative, direction, function, mapping, element"
1,7,1,0,0,1,d-tiling,"d-tiling###𝒯###d-dimensional###boxes###[-1,+1]^d###tile###[-1,+1]^d"
1,3,1,0,0,1,fractional part,floor###integer###fractional part
1,10,0,3,0,0,(intermediate) inhomogeneous random graph,inhomogeneous random graph###kernel###random graph###vertex set###connect###pair of vertices###probability###min###log###n
1,1,1,0,0,1,isolation parameter,isolation parameter###
2,2,2,1,1,2,reducible;irreducible,reducible###irreducible
2,2,2,0,0,2,lower approximation kernels;partition graphs,lower approximation kernels###partition graphs
1,4,1,0,0,1,special,special###valence###subword###word
1,9,1,0,0,1,arc,arc###curve###endpoints###cross###relative interior###disjoint###boundary###monogon###digon
1,12,0,0,0,0,"(T,)-path","T-path###reduced T-path###ℓ()###_i###τ###e(τ,)###i_###s()###t()###labeled crossing points###_j###homotopic"
1,3,1,0,0,1,movement vector,movement vector###neighborhood###vertices
1,1,0,0,0,0,shape,"s^+, neighborhood, scaling ratio, movement vectors, s^+(v)"
1,1,0,0,1,1,inverse,"inverse, neighborhood, shape, central symmetry"
1,24,1,2,0,1,transporter,transporter###west to east###vectors###w⃗###e⃗###E_n###stable###t###F^t###c+W(w⃗)###v###E(e⃗)###north to south###n⃗###s⃗###N(n⃗)###S(s⃗)###c###F^t(c+N(n⃗))###v###E_n###stable###t###S(s⃗)
1,6,0,0,0,0,bad,α'###G###K_n+1###m###Δ'###𝒢'_Δ'(G)
5,17,4,6,2,4,Δ-floor diagram;divergence condition;toric floor diagram;floor diagram;divergence sequence,Δ-floor diagram###permutations###multiset###left and right directions###sequence###non-negative integers###graph###vertex set###multiple edges###directed###edge weights###inequality###markings###toric floor diagram###floor diagram###divergence sequence###diagram
2,3,1,0,1,2,marking;marked floor diagram;marking,marking of a floor diagram###divergence###marked floor diagram###
1,13,0,0,1,1,template,template Γ###directed graph###vertices###edges###edge weights###weights###short edges###covering###edge i e→ j###edge i e→ i+1###weight w(e)###edge i e→ k###i <j <k
1,8,1,2,0,1,Adjacency matrix,adjacency matrix###graph###undirected graph###entries###matrix###vertices###edges###n
1,5,1,0,2,1,Degree,degree###vertex###graph###minimum degree###maximum degree
1,7,1,0,0,1,Volume,volume###graph###vertices###degrees###subset###denoted###sum
1,5,1,0,0,1,Edge Connectivity,edge connectivity###κ'(G)###disconnecting set###k-edge connected###connected graph
1,13,0,0,1,1,Cartesian product,Cartesian product of graphs G and H###G  H###V(G  H)###E(G  H)###V(G)###V(H)###E(G  H)###u_1###v_1###u_2###v_2###E(H)###E(G)
1,6,1,0,0,1,Path,graph###path###sequence###vertices###edge###length
1,7,1,0,0,1,Shortest Path,shortest path###weighted graph###set of paths###length of path###minimization###vertex###edge
1,6,0,1,0,0,Distance,dist###vertices###graph###path###length###shortest path
1,5,1,1,0,1,Diameter,"diameter###graph###V###E###dist(i,j)"
1,3,1,1,0,1,Permutation matrix,graph###permutation###permutation matrix
1,5,1,0,0,1,Automorphism,automorphism###graph###bijection###vertex set###permutations
1,5,1,3,0,1,Weighted graph,weighted graph###G###V###E###w###
1,3,1,0,0,1,Weighted adjacency matrix,"weighted adjacency matrix###w_ij###w(i,j)"
1,6,1,1,0,1,Graph cut,graph cut###weighted graph###weighted adjacency matrix###subset###edges###graph
1,6,1,1,0,1,Isoperimetric number,isoperimetric number###graph###order###cut###S###V###
1,8,1,0,0,1,Weighted difference Laplacian,weighted difference Laplacian###L(G)###l_ij###d_i###w_ii###w_ij###D(G)###W(G)
1,8,0,0,1,1,Signless Laplacian,weighted signless Laplacian###SL(G)###sl_ij###d_i###w_ii###w_ij###D###W
1,3,1,0,0,1,Path graph,path graph###vertex set###edge set###
1,4,1,1,0,1,Weighted Path,adjacency matrix###weighted path###V###E
1,11,1,1,0,1,Complete binary tree,"complete binary tree###T_n###V###E###depth n###Σ^< n###(w,wu)###w###Σ^< (n-1)###u###Σ"
1,21,1,2,0,1,Double tree,double tree###DT_n###depth###tree###complete binary trees###root###V###x(w)###w∈Σ^< n###y(w)###E_1###x(w)###x(wu)###w ∈Σ^< (n-1)###u ∈Σ###E_2###y(w)###y(wu)###E###x(ϵ )###y(ϵ )
1,6,1,0,0,1,Cycle,C_n###cycle###vertex set###V_n###edge set###E_n###
1,3,1,0,0,1,Complete graph,complete graph###vertex set###edge set###
1,4,0,0,0,0,Normalized cut,"Ncut(A,B)###cut(A,B)###vol(A)###vol(B)"
1,6,1,0,0,1,Mcut(G),"Mcut(G)###Mcut_j(G)###Ncut(A,V∖ A)###cut(A,V∖ A)###A###V"
1,5,1,0,0,1,Lcut(G),Lcut(G)###Ncut###V^+###V^0###V^-
3,5,0,0,4,3,proximity;neighborhood;graph,proximity graph###neighborhood graph###property###vertices###edges###
2,4,2,0,0,2,proximity map;proximity region,measurable space###proximity map###power set functional###proximity region
1,15,1,1,0,1,PCD,PCD###D###vertex set###arc set###N(p_i)###i###j###p_1###p_2###p_n###p_ip_j###p_j###N(p_i)###i###j
1,4,1,0,0,1,superset region,proximity map###superset region###Ω-valued random variable###Ω a.s.
1,1,1,0,0,1,vertex regions,vertex regions###
1,1,1,0,0,1,edge regions,edge regions###
1,4,0,0,1,1,active set,"active set of points S_A(B)###subset###_1(B,N)###⋂_x ∈ S_A(B)_1(x,N)"
3,6,3,0,0,3,minimal active subset;η-value;minimum active subset,minimal active subset###η-value###minimum active subset###S_μ(B)###S_A(B)###S_M(B)
1,7,1,0,0,1,edge extrema;edge extrema,"edge extrema###set B###points###edges###x_e_i###i###Bd(x,e_i)"
2,14,2,3,0,2,_2-region;_k-region,"_2-region###_2(B,N)###_k-region###proximity map###set###Ω###B###k###n###m-permutations###u_1###u_2###u_m###∉_m(B,N)"
1,7,1,0,0,1,κ-value,κ-value###domination number###proximity map###PCD###least upper bound###random sample###F
2,2,0,2,0,0,"PB-deletion    of (B, x^B);PB-contraction of (B,x^B)",PB-deletion###PB-contraction
1,4,0,0,0,1,reduced vertex-weighted block  graph,reduced vertex-weighted block graph###vertex-weighted block graph###PB-deletions###PB-contractions###
1,3,0,0,0,1,B^3_1  block  graph,B^3_1 block graph###block graph###non-cut-vertex
2,5,2,0,0,2,skeleton edge;skeleton vertices,block graphs###tree###skeleton edge###skeleton vertices###pendant
1,6,0,1,0,0,First common ancestor,tree###nodes###internal nodes###leaves###common ancestor###root
1,8,1,0,0,1,Hypothesis (CS),dominant singularity###exponent###family of simple permutations###hypothesis (CS)###pattern###size###series###R_S###
1,3,0,1,0,0,called the Brownian separable permuton,uniform random separable permutation###Brownian separable permuton###converges in distribution
2,4,2,0,0,2,substitution;skeleton,substitution###permutation###isomorphic###skeleton
1,2,1,0,0,1,substitution-closed,substitution-closed###permutation class
2,5,0,1,0,0,simple permutation;i.e.,permutation###size###nontrivial interval###range###elements
2,12,2,0,1,2,canonical tree;degree,canonical tree###rooted planar tree###labels###constraints###internal nodes###⊕###⊖###simple permutation###degree###children###arity###graph-degree
1,5,1,0,0,1,consistent,consistent###random permutations###uniform subset###size k###independent###
2,7,1,0,1,2,rooted planar tree;size,rooted planar tree###leaf###root node###subtrees###size of a tree###number of leaves###number of nodes
1,5,1,0,0,1,substitution tree,substitution tree###labeled rooted planar tree###leaves###internal node###permutation
1,5,1,0,0,1,first common ancestor,first common ancestor###tree###node###root###paths
1,3,1,0,0,1,decorated tree,decorated tree###substitution tree###nonlinear nodes
4,12,4,4,0,4,1-codimension;1-codimension;2-codimension;level 1 adjacency;level 2 adjacency,1-codimension###d_1(C)###d(C)###C###𝒞_1###2-codimension###d_2(C)###C_1###𝒞_2###adjacent###level 1 adjacency###level 2 adjacency
2,4,2,1,0,2,level of adjacency;dominating parameter,adjacency###level of adjacency###ρ-adjacent###dominating parameter###
4,4,4,1,1,4,clockwise biased;anti-clockwise biased;equivocal;ultimately equitable,clockwise biased###anti-clockwise biased###equivocal###ultimately equitable
1,1,1,0,0,1,monopoly state,monopoly state###
1,10,0,0,1,1,Generalized Quiver,generalized quiver Q###directed graph###vertices###edges###Laurent polynomial label###number of vertices###2-cycles###matrix B###entry###skew-symmetrizable
1,8,0,1,0,0,Generalized Quiver Mutation,quiver mutation###Laurent polynomial###vertices###edges###2-cycles###multiplicity###pointing into###pointing out of
1,8,1,2,0,1,Framed Generalized Quiver,framed generalized quiver###generalized quiver###labels###quiver###vertex###edge###base vertex###original quiver
1,8,1,0,0,1,D-Matrix,"D-matrix###C-matrix###D_n###E_1###E_n###D_m,n###D_m^-1###D_0,n"
1,2,0,0,0,0,r_i,green###red
1,8,1,0,0,1,"δ_i,j","δ_i,j###r_i###r_j###color###Mutation 0###red###assigning δ_0,i###Definition"
1,5,1,0,0,1,Quiver,quiver###directed graph###Laurent polynomial label###variable v###2-cycles
1,7,1,0,0,1,Quiver Mutation,quiver mutation###Laurent polynomial###vertex###edge###path###Laurent polynomial###multiset
1,5,1,1,0,1,Framed Quiver,framed quiver###quiver###base vertex###original quiver###vertex###
1,11,1,0,0,1,C-matrix,"C-matrix###quiver###framed quiver###mutation sequence###base vertices###frozen vertex###C_n###C_m,n###indices###C_m^-1###C_0,n"
1,3,0,2,0,0,Fundamental r_i,fundamental###M_n###M###
1,2,1,0,0,1,Basic,basic###P_n
1,9,1,0,0,1,expander,expander###bicolored graph###black vertices###white vertices###function###set###connected###vertex###set A
1,6,1,0,0,1,expander,expander###permutations###function###cycles###set###intersects###
1,12,1,0,1,1,compatible,cluster complex###type A_n###roots###compatible###diagonals###cross###clique complex###compatibility relation###almost positive roots###pairwise compatible###maximal simplices###clusters
1,8,0,0,1,1,associahedron,associahedron Ass_n###n-dimensional simple polytope###face lattice###isomorphic###lattice###polyhedral subdivisions###convex (n+3)-gon###refinement
2,2,2,0,0,2,GKZ vector;secondary polytope,GKZ vector###secondary polytope
2,12,2,0,0,2,cluster complex;clusters,cluster complex###type A_n###roots###compatible###diagonals###cross###clique complex###compatibility relation###almost positive roots###pairwise compatible###maximal simplices###clusters
2,7,2,0,0,2,perfect decomposition;partial decomposition,perfect decomposition###digraph###edge-disjoint paths###cover###partial decomposition###start###end###
4,12,3,2,0,3,"(W,V)-path system;extend;source;sink","(W,V)-path system###X###Y###J###d_X ∪ Y ∪ J (v)###V(X)###V(Y)###V(J)###P_1###P_2###source###sink"
1,42,1,0,0,1,partition,partition###non-increasing sequence###positive integers###summing###sequence###λ###λ_1###λ_2###λ_k###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###≥###
1,1,0,0,0,0,"(X,σ)",vertex-2-colourings###
1,3,0,2,0,0,lazy coin flip distribution,_###I###B
1,1,1,0,0,1,Chio set,Chio set###
1,4,1,0,0,1,matrix-l-circuit,"matrix-l-circuit###graph-theoretical l-circuit###(l,s,t)###(l,n)"
1,12,1,0,0,1,"(σ, -)-constant, (σ, +)-proper","(σ, -)-constant, (σ, +)-proper###signed graph###graph###X=(V,E)###σ∈{±}^E###function###∈{±}^V###e = uv∈(X)###σ(e) = -###σ(e) = +###u###v"
2,2,0,0,2,2,positive;negative,positive path###negative path
1,9,1,0,0,1,Periodic Graph,periodic graph###countable###infinite###connected graph###automorphism group###discretely###co-finitely###subgroup###V(X)
4,16,3,3,0,3,without inversions;discretely;with bounded co-volume;co-finitely,countable discrete subgroup###automorphisms###act on###without inversions###edge###inverted###discretely###Γ_v###finite###bounded co-volume###vol(X/Γ)###complete set of representatives###equivalence classes###co-finitely###ℱ_0###finite
1,8,1,0,0,1,periodic graph,periodic graph###countable###infinite###connected graph###countable subgroup###automorphism group###acts on V(X) discretely###co-finitely
5,7,3,0,2,4,backtracking;proper;primitive;tail;reduced,reduced paths###proper###closed path###primitive###tail###reduced closed paths###𝒞
1,2,1,0,0,1,redundant,redundant###satisfiability equivalent
1,5,1,0,0,1,Complexity,complexity###linear forms###partition###integer###maximum
1,16,1,1,0,1,regular,"Bohr set###frequency set###Γ###radius###B(Γ,δ)###x###M###r###d###ρ-dilate###B_| ρ###B'###≤_ρ###regular###|B|###|B_| 1 ±ρ|"
1,4,0,0,2,1,exact,normal form###exact s-normal form###exact s_i-normal form###s-normal form###
1,6,1,0,0,1,shape,shape###closed set###null set###Lebesgue measure###volumetric integration###set interior
2,9,2,0,0,2,support;Hamming weight,support###code word###positions###nonzero entry###set###Hamming weight###number of nonzero symbols###minimum distance###C_k(𝒮)^⊥
1,17,1,1,0,1,quasi-square grid,quasi-square grid###ℝ^d###graph###ℤ^d###vertices###edge###coordinates###subset###points###place###x_i###y_i###vertex###z_1###z_d###j###i
1,4,0,2,0,0,"x nondecreasingly sorted with respect to the lattice (X,,)",sequence###length###lattice###nondecreasingly sorted###
1,6,0,0,0,0,(A Poincaré,Poincaré lemma###inverse###star-shaped###digraph###reduced homologies###trivial
2,7,0,0,3,2,elementary;path,p-path###elementary p-path###set V###vertices###p+1###p=-1###empty set ∅
1,12,1,0,0,1,boundary operator,boundary operator###Λ_p###Λ_p-1###linear operator###elementary paths###e_i_0...i_p###∂###_q=0^p###-1###^q###i_q###omission of the index i_q
1,2,0,0,1,1,non-,non-regular###regular
1,6,0,0,2,1,regular,regular p-paths###ℛ_p###equivalence classes###vmodI_p###regularized p-paths###Λ _p
2,3,1,0,3,2,regular;non-regular,regular boundary operator###regular join###non-regular
1,4,1,0,0,1,concatenation,concatenation###Λ###p###q
1,1,0,0,1,1,regular,regular p-forms###
1,3,1,0,0,1,path complex,path complex###elementary paths###truncated paths
1,4,1,0,0,1,perfect,perfect###path complex###allowed elementary path###allowed path
1,7,1,0,1,1,monotone,monotone###path complex P###injective###real-valued function###vertex set###strictly monotone increasing###path
1,1,0,0,1,1,allowed,allowed n-paths###
1,3,1,0,0,1,regular,regular###path complex###1-path
2,5,2,3,1,2,path homology groups;reduced path homology groups,homology groups###truncated complex###path homology groups###path complex###reduced path homology groups
1,3,1,0,0,1,exterior differential,d-invariant n-forms###path complex###exterior differential
1,2,1,0,1,1,star-shaped,star-shaped###inverse star-shaped
1,5,1,0,0,1,join,join###path complex###P(Z)###P(X)###P(Y)
1,2,0,0,2,1,cone,cone vertex###ConeX
1,5,0,0,2,1,suspension,suspension vertices###suspension over a digraph X###digraph SusX###vertices###edges###
1,4,1,0,0,1,depth,depth###ordered tree###node###root
1,5,1,0,0,1,level,semiorder###level###integer###elements###graph
1,2,1,0,0,1,equivalent,poset###equivalent
1,1,0,0,0,0,to the right of,###semiorder###
1,4,1,0,0,1,bad,semiorder###bad###first level###last level
2,11,1,4,1,1,maximal cone;has good maximal cones,reflexive four-polytope###maximal cone###linearly independent lattice points###Δ###∩###N###good maximal cone###∂Δ###Δ-maximal fan###four-dimensional cones###Σ
1,5,1,0,0,1,GKZ cone,"GKZ cone###Γ_Σ,I_∅###support function###generalized fan###convex piecewise linear support function"
1,2,1,0,0,1,Growth point,growth point###Col(x_n)
1,9,1,0,0,1,cell complex,cell complex###Hausdorff topological space###finite collection###open cells###continuous map###homeomorphically###union of open cells###dimension###finite CW complex
1,4,0,1,0,0,concrete simplicial complex,simplicial complex###simplices###face###intersection
1,8,0,0,1,1,star,star of v###simplicial complex###vertex###union###interiors###simplices###denoted###have v as a vertex
1,5,1,0,0,1,abstract simplicial complex,abstract simplicial complex###collection###finite###nonempty sets###subset
1,2,0,0,1,1,vertex scheme,vertex scheme of Δ###partially ordered by inclusion
1,9,0,0,1,1,nerve,nerve of 𝒰###N(𝒰)###abstract simplicial complex###vertices###elements of 𝒰###simplices###finite subcollections###U_0###U_n
1,2,1,1,0,1,real hyperplane arrangement,hyperplane arrangement###real hyperplane arrangement
1,4,1,0,0,1,finite reflection group,finite reflection group###finite group###orthogonal linear transformations###reflections
1,2,1,0,0,1,Salvetti complex,Salvetti complex###hyperplane arrangement###
1,1,1,0,0,1,FQ-legal decomposition,FQ-legal decomposition###
1,2,1,0,0,1,Fibonacci Quilt Sequence,Fibonacci Quilt sequence###FQ-legal decomposition###
1,4,1,0,0,1,increasing,discrete cube###increasing###characteristic function###partial order
2,9,0,0,0,0,influence;total influence,k^th variable###⊂Ω_n###I_k()###μ###x###x ⊕ e_k###x_k###I()###∑_k=1^n###
2,2,1,0,0,1,weakly symmetric;regular,regular###influences
1,3,1,0,0,1,fully symmetric,fully symmetric###invariant###action###
1,5,1,0,0,1,level,Fourier-Walsh expansion###u_S###coefficients###f̂(S)###level
1,3,1,0,0,1,linear threshold function,linear threshold function###Ω_n###sign###
2,8,2,0,0,2,edge labeling;spline,edge labeling###spline###graph###commutative ring###unity###vertex-labeling###difference###ideals
2,2,2,0,0,2,constant spline;rank one,constant spline###rank one
1,4,1,0,0,1,direct product,direct product###vertex set###vertices###adjacent
1,3,1,0,0,1,lexicographic product,lexicographic product###vertex set###adjacent
2,6,1,1,2,2,basic admissible vector;admissible,basic admissible vector###admissible vector###simplicial complex###f-vector###simplicial complex###f-vector
1,5,1,0,0,1,Reverse Multiple,reverse multiple###base-g representations###reverses###integers###nonzero###
1,3,0,0,0,1,Pivot Nodes,even pivot node###odd pivot node###starting node
1,6,1,1,0,1,Young Graph,"Young graph###g###k###labeled directed graph###H(g, k)###pivot nodes"
1,10,1,0,0,1,Isomorphism,Young graphs###isomorphic###function###nodes###directed graphs###edge###node labels###isomorphism###pivot node-preserving###underlying directed graphs
1,3,1,0,0,1,1089 Graph,"1089 graph###Young graph###Y(10, 9)"
1,6,0,1,0,0,"(g, k) reverse multiple",reverse multiple###base-g representation###reverses###positive integer###integers###nonzero
2,4,2,0,0,2,even pivot node;odd pivot node,Pivot Nodes###even pivot node###odd pivot node###starting node
1,3,1,0,0,1,Young graph,"Young Graph###H(g, k)###pivot nodes"
1,10,0,1,0,0,isomorphic as Young graphs,Isomorphism###Young graphs###function###nodes###directed graphs###edge###node labels###isomorphism###pivot node-preserving isomorphism###underlying directed graphs
1,3,1,0,0,1,1089 graph,"1089 graph###Young graph###Y(10, 9)"
1,9,0,3,0,0,complete Young graph on m nodes,Complete Graph###Young graph###complete Young graph###nodes###complete directed graph###edge###equivalence class###denoted###K_m
1,10,0,3,0,0,cyclic Young graph on n nodes,Cyclic Graph###Young graph###cyclic Young graph###nodes###cyclic directed graph###directly precedes###direct predecessor###direct successor###equivalence class###Z_n
2,3,2,0,0,2,"ξ-absorbing;(S, t)-absorbing","ξ-absorbing###H-factor###(S, t)-absorbing###"
1,16,1,2,0,1,μ-regular,"μ-regular###graph###disjoint subsets###V(G)###X###A###B###d(X,Y)###e(X,Y)###bipartite subgraph###G###induced###|X|###|Y|###|A|###|B|"
2,3,2,1,2,2,decomposable;indecomposable,decomposable###skew-decomposable###indecomposable
2,10,1,1,0,1,Dyck path;elevated Dyck path,Dyck path###length###semilength###sequence###steps###set###begins###ends###line###x=0
1,20,1,0,0,1,t-Lattice Graph,"t-Lattice Graph###N###V_N###E_N###e^1_x,y###e^2_x,y###e^3_x,y###e^4_x,y###e^5_x,y###w(e^1_x,y)###w(e^2_x,y)###w(e^3_x,y)###w(e^4_x,y)###w(e^5_x,y)###a_x###x^∘_x,y###x^∘_x,y-1###x^∘_x+1,y-1###x^∘_x,y###x^∙"
1,8,0,0,0,0,Wep,Y_k(t)###c_k###n###α###c_α###k###1/α###n
1,3,0,0,0,0,Wep,Y_1(t)###c_1###O(√(n)log n)
1,2,0,0,0,0,wep,###expected degree###vertex###
1,8,0,0,0,0,wep,Z_≥ k###log^4 n###α###d###n###α·d###k###O(log^-1/3 n)
1,6,0,0,0,0,wep,"log^3 n###expected degree###vertex###label###log(n/i)###O(√((v_i,n))log n)"
1,11,0,0,0,0,wep,Z_≥ k###n###d###α###log###k###n###α###Γ###1/α###1
1,3,0,0,0,0,wep,###vertex###rank###log###
1,18,0,0,0,0,wep,"log^4 n###l(v_i)###R_i###i###(v_i,n)###d###α###n###O(√((v_i,n)))###log^-(1-α)/2 n###(1+O(log^-(1-α)/2 n))###(i+1)###R_i/(i+1)###R_i^2/(i+1)###(v_i,n) + O(√((v_i,n)))###(v_i,n) + O(√((v_i,n)))log n###(v_i,n)###(v"
1,13,1,0,0,1,wep,Z_≥ k###n###d###α###log###k###n###α###log###n###wep###o(1)###Γ( 1/α +1 )
1,9,1,0,0,1,wep,"n^1/2log^s+1n###vertex###initial rank###R_i###wep###r(v_i,t)###R^*_i###t###s"
1,1,0,0,0,0,wep;wep,###vertex###
1,10,1,0,0,1,wep,"n^1/2log^s+1n###vertex###initial rank###R_i###wep###r(v_i,t)###t###R_i^*###s###O(t^s-1n^(1-s)/2log n)"
1,4,0,0,1,1,Ramanujan graphs,"Ramanujan graphs X^p,q###Legendre symbol###girth###chromatic number"
