term,def,file_name,extraction_rule,plain_text_def,plain_text_term,masked_plain_text_def,labeled_def
Arithmetic expander,"\label{def:arithexp}
Let $K$ be the Cayley hypergraph as above.
A multiset $S'\subseteq S$ is a \emph{$(C,q,\Gamma,\eps)$-arithmetic expander} if 
$$\lambda_{K}\big(\cay^{(t)}(\Gamma, q, S')\big) \leq \eps.$$",/home/shufan/que_tex/arith_exp.tex,definition[],"
Let K be the Cayley hypergraph as above.
A multiset S'⊆ S is a (C,q,Γ,)-arithmetic expander if 

    λ_K(^(t)(Γ, q, S')) ≤.
",Arithmetic expander,"
Let K be the Cayley hypergraph as above.
A multiset S'⊆ S is a (C,q,Γ,)-B_MATH_TERM I_MATH_TERM if 

    λ_K(^(t)(Γ, q, S')) ≤.
",O O O O O O O O O O O O O O O I_MATH_TERM O O O O O
Regular slice,"Given $\eps,\eps_k>0$,
$r,t_0,t_1\in\NATS$, a $k$-graph $G$ and a $(k-1)$-complex $\cJ$ on $V(G)$, we
call $\cJ$ a $(t_0,t_1,\eps,\eps_k,r)$-regular slice for $G$ if
$\cJ$ is $(t_0,t_1,\eps)$-equitable and $G$ is $(\eps_k,r)$-regular with respect to all but at most
$\eps_k\binom{t}{k}$ of the $k$-sets of clusters of $\cJ$, where $t$ is the number of clusters of $\cJ$.",/home/shufan/que_tex/HyperErdosGallai_arXiv.tex,definition[],"Given ,_k>0,
r,t_0,t_1∈, a k-graph G and a (k-1)-complex  on V(G), we
call  a (t_0,t_1,,_k,r)-regular slice for G if
 is (t_0,t_1,)-equitable and G is (_k,r)-regular with respect to all but at most
_ktk of the k-sets of clusters of , where t is the number of clusters of .",Regular slice,"Given ,_k>0,
r,t_0,t_1∈, a k-graph G and a (k-1)-complex  on V(G), we
call  a (t_0,t_1,,_k,r)-B_MATH_TERM I_MATH_TERM for G if
 is (t_0,t_1,)-equitable and G is (_k,r)-regular with respect to all but at most
_ktk of the k-sets of clusters of , where t is the number of clusters of .",O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
linear forms condition;LFC,"[$(k,\delta)$-linear forms condition, arithmetic setting]\label{def_lfc_arithmetic}
Let $k\geq 2$ and $\delta >0$. We say that a function $\func[\nu]{\ZZ_N}{[0,\infty)}$ satisfies the $(k,\delta)$-\textit{linear forms condition} (or $(k,\delta)$-\textit{LFC} in short) if
\[
\left| \E_{x_{1}^{(0)},x_{1}^{(1)},\ldots, x_{k}^{(0)}, x_{k}^{(1)} \in \ZZ_N} \left[ \prod_{j=1}^{k} \prod_{\omega \in \{0,1\}^{[k]\setminus \{j\}}} \nu \left( \sum_{i=1}^{k} (j-i) x_{i}^{(\omega_i)} \right)^{n_{j,\omega}} \right]  - 1 \right| \leq \delta,
\]
for any choice of exponents $n_{j,\omega} \in \{ 0,1\}$.
",/home/shufan/que_tex/1709.04719.tex,definition + \textit{},"[(k,δ)-linear forms condition, arithmetic setting]
Let k≥ 2 and δ >0. We say that a function [ν]_N[0,∞) satisfies the (k,δ)-linear forms condition (or (k,δ)-LFC in short) if

    | _x_1^(0),x_1^(1),…, x_k^(0), x_k^(1)∈_N[ ∏_j=1^k∏_ω∈{0,1}^[k]∖{j}ν( ∑_i=1^k (j-i) x_i^(ω_i))^n_j,ω]  - 1 | ≤δ,

for any choice of exponents n_j,ω∈{ 0,1}.
",linear forms condition;LFC,"[(k,δ)-linear forms condition, arithmetic setting]
Let k≥ 2 and δ >0. We say that a function [ν]_N[0,∞) satisfies the (k,δ)-B_MATH_TERM I_MATH_TERM I_MATH_TERM (or (k,δ)-B_MATH_TERM in short) if

    | _x_1^(0),x_1^(1),…, x_k^(0), x_k^(1)∈_N[ ∏_j=1^k∏_ω∈{0,1}^[k]∖{j}ν( ∑_i=1^k (j-i) x_i^(ω_i))^n_j,ω]  - 1 | ≤δ,

for any choice of exponents n_j,ω∈{ 0,1}.
",O O O O O O O O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O
linear forms condition;LFC,"[$(k,\delta)$-linear forms condition, hypergraph setting]
Let $\delta >0$.  We say that a weighted $(k-1)$-uniform $k$-partite hypergraph $\nu$ satisfies the $(k,\delta)$-\textit{linear forms condition} ($(k,\delta)$-\textit{LFC} ) if
\begin{equation}\label{LFC}
\left| \E_{x_{1}^{(0)},x_{1}^{(1)} \in X_1,\ldots, x_{k}^{(0)}, x_{k}^{(1)} \in X_k}\left[ \prod_{j=1}^{k} \prod_{\omega \in \{ 0,1\}^{[k]\setminus \{j\}}} \nu \left( \left(x^{(\omega)}\right)_{-j}\right)^{n_{j,\omega}} \right] - 1 \right| \leq \delta,
\end{equation}
for any choice of exponents $n_{j,\omega} \in \{ 0,1\}$, with $x^{(\omega)} = (x_{1}^{(\omega_1)}, \ldots, x_{k}^{(\omega_k)} )$.
",/home/shufan/que_tex/1709.04719.tex,definition + \textit{},"[(k,δ)-linear forms condition, hypergraph setting]
Let δ >0.  We say that a weighted (k-1)-uniform k-partite hypergraph ν satisfies the (k,δ)-linear forms condition ((k,δ)-LFC ) if

    | _x_1^(0),x_1^(1)∈ X_1,…, x_k^(0), x_k^(1)∈ X_k[ ∏_j=1^k∏_ω∈{ 0,1}^[k]∖{j}ν( (x^(ω))_-j)^n_j,ω] - 1 | ≤δ,

for any choice of exponents n_j,ω∈{ 0,1}, with x^(ω) = (x_1^(ω_1), …, x_k^(ω_k) ).
",linear forms condition;LFC,"[(k,δ)-linear forms condition, hypergraph setting]
Let δ >0.  We say that a weighted (k-1)-uniform k-partite hypergraph ν satisfies the (k,δ)-B_MATH_TERM I_MATH_TERM I_MATH_TERM ((k,δ)-B_MATH_TERM ) if

    | _x_1^(0),x_1^(1)∈ X_1,…, x_k^(0), x_k^(1)∈ X_k[ ∏_j=1^k∏_ω∈{ 0,1}^[k]∖{j}ν( (x^(ω))_-j)^n_j,ω] - 1 | ≤δ,

for any choice of exponents n_j,ω∈{ 0,1}, with x^(ω) = (x_1^(ω_1), …, x_k^(ω_k) ).
",O O O O O O O O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Linear forms condition,"We say that a measure $\nu: \FqN \rightarrow \infty$ satisfies the $(m_0,n_0,k_0)$-linear forms condition if whenever we have $m\leq m_0$ linear forms in $n\leq n_0$ variables $\psi_1,\ldots, \psi_{m}:(\FqN)^{n} \rightarrow \GN$ of the form
$$\psi_{i}(\mathbf{f})=\sum_{j=1}^{n}L_{ij}f_{i}+b_{i}$$
such that all the coefficients $L_{ij}$ are in the set\footnote{Note that this set can be embedded in to $\FqN$ for every $N \geq k_{0}$. Of course, the embedding depends on our choice of the irreducible polynomial $f_{N}$ underlying $\FqN$.} $\{ \frac{f}{g}|f,g \in \mathbf{G}_{k_0} \}$, and no two of the vectors $(L_{ij})_{1\leq j \leq n}, i=1,\ldots,m$, are proportional, then we have
\begin{equation} \label{linear forms}
 \E \left( \nu( \psi_1( \mathbf{f}) ) \ldots \nu ( \psi_{m}(\mathbf{f}) ) | \mathbf{f}\in \left( \FqN \right)^{n} \right)  = 1+o_{N \rightarrow \infty}(1)
\end{equation}",/home/shufan/que_tex/0908.2642.tex,definition[],"We say that a measure ν: →∞ satisfies the (m_0,n_0,k_0)-linear forms condition if whenever we have m≤ m_0 linear forms in n≤ n_0 variables ψ_1,…, ψ_m:()^n→ of the form

    ψ_i(𝐟)=∑_j=1^nL_ijf_i+b_i

such that all the coefficients L_ij are in the set[Note that this set can be embedded in to  for every N ≥ k_0. Of course, the embedding depends on our choice of the irreducible polynomial f_N underlying .] {f/g|f,g ∈𝐆_k_0}, and no two of the vectors (L_ij)_1≤ j ≤ n, i=1,…,m, are proportional, then we have

    ( ν( ψ_1( 𝐟) ) …ν ( ψ_m(𝐟) ) | 𝐟∈( )^n)  = 1+o_N →∞(1)
",Linear forms condition,"We say that a measure ν: →∞ satisfies the (m_0,n_0,k_0)-B_MATH_TERM I_MATH_TERM I_MATH_TERM if whenever we have m≤ m_0 linear forms in n≤ n_0 variables ψ_1,…, ψ_m:()^n→ of the form

    ψ_i(𝐟)=∑_j=1^nL_ijf_i+b_i

such that all the coefficients L_ij are in the set[Note that this set can be embedded in to  for every N ≥ k_0. Of course, the embedding depends on our choice of the irreducible polynomial f_N underlying .] {f/g|f,g ∈𝐆_k_0}, and no two of the vectors (L_ij)_1≤ j ≤ n, i=1,…,m, are proportional, then we have

    ( ν( ψ_1( 𝐟) ) …ν ( ψ_m(𝐟) ) | 𝐟∈( )^n)  = 1+o_N →∞(1)
",O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Correlation condition,"We say that a measure $\nu: \FqN \rightarrow \infty$ satisfies the $l_0$-correlation condition if whenever we have $l \leq l_0$ linear forms of the form $f+h_1, \ldots f+h_{l}$ with $h_1, h_2, \ldots h_{l} \in \FqN$ , then
\begin{equation} \label{correlation}
\E \left( \nu(f+h_1) \ldots \nu(f+h_{l}) | f \in \FqN \right) \leq \sum_{1 \leq i \leq j \leq q } \tau(h_{i}-h_{j})
\end{equation}
where $\tau$ is a function $\GN \rightarrow \R^{+}$ having the property that $\E(\tau(f)^p | f\in \FqN) =O_{p}(1)$ for every $p>1$.",/home/shufan/que_tex/0908.2642.tex,definition[],"We say that a measure ν: →∞ satisfies the l_0-correlation condition if whenever we have l ≤ l_0 linear forms of the form f+h_1, … f+h_l with h_1, h_2, … h_l∈ , then

    ( ν(f+h_1) …ν(f+h_l) | f ∈) ≤∑_1 ≤ i ≤ j ≤ q τ(h_i-h_j)

where τ is a function →^+ having the property that (τ(f)^p | f∈) =O_p(1) for every p>1.",Correlation condition,"We say that a measure ν: →∞ satisfies the l_0-B_MATH_TERM I_MATH_TERM if whenever we have l ≤ l_0 linear forms of the form f+h_1, … f+h_l with h_1, h_2, … h_l∈ , then

    ( ν(f+h_1) …ν(f+h_l) | f ∈) ≤∑_1 ≤ i ≤ j ≤ q τ(h_i-h_j)

where τ is a function →^+ having the property that (τ(f)^p | f∈) =O_p(1) for every p>1.",O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
-linear isoperimetric inequality,"
A combinatorial disk $H$ satisfies a $(k,D)$\textit{-linear isoperimetric inequality} (LII) if $|F|\leq D$ for all bounded faces $F$ of $H$ and the number of bounded faces of $H$ is bounded above by $k|\partial_{top}H|$.
",/home/shufan/que_tex/hypamen4.tex,definition + \textit{},"
A combinatorial disk H satisfies a (k,D)-linear isoperimetric inequality (LII) if |F|≤ D for all bounded faces F of H and the number of bounded faces of H is bounded above by k|∂_topH|.
",-linear isoperimetric inequality,"
A combinatorial disk H satisfies a (k,D)B_MATH_TERM I_MATH_TERM I_MATH_TERM (LII) if |F|≤ D for all bounded faces F of H and the number of bounded faces of H is bounded above by k|∂_topH|.
",O O O O O O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O
Large spectrum,"Suppose that $\eta \in (0,1]$ be a parameter
	and $f : G \rightarrow \C$ is a function.
	The $\eta$-large spectrum of $f$ is the level set of $\dual$ defined by
	\begin{align*}
		\Spec_\eta(f) = \{ \, |\wf| \geq \eta \| f \|_{L^1} \}.
	\end{align*}",/home/shufan/que_tex/smalldoubling_arxiv2.tex,definition[],"Suppose that η∈ (0,1] be a parameter
	and f : G → is a function.
	The η-large spectrum of f is the level set of  defined by
	
    _η(f) = {  || ≥η f _L^1}.
",Large spectrum,"Suppose that η∈ (0,1] be a parameter
	and f : G → is a function.
	The η-B_MATH_TERM I_MATH_TERM of f is the level set of  defined by
	
    _η(f) = {  || ≥η f _L^1}.
",O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O
-automatic set,"[Allouche and Shallit \protect\cite{jps}]
Let $\mathcal{A}$ be a set of non-negative integers. Then we say that $%
\mathcal{A}$ is a $k$\emph{-automatic set} if its characteristic sequence
\[
a_{n}=\left\{
\begin{array}{ll}
1, & \hbox{if $n\in \mathcal{A}$;} \\
0, & \hbox{otherwise,}%
\end{array}%
\right.
\]%
defines a $k$-automatic sequence.
",/home/shufan/que_tex/1405.6493.tex,definition + \emph{},"[Allouche and Shallit <cit.>]
Let 𝒜 be a set of non-negative integers. Then we say that 𝒜 is a k-automatic set if its characteristic sequence

    a_n={[         1,    if n∈𝒜;;         0, otherwise, ]
    .

defines a k-automatic sequence.
",-automatic set,"[Allouche and Shallit <cit.>]
Let 𝒜 be a set of non-negative integers. Then we say that 𝒜 is a kB_MATH_TERM I_MATH_TERM if its characteristic sequence

    a_n={[         1,    if n∈𝒜;;         0, otherwise, ]
    .

defines a k-automatic sequence.
",O O O O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O
(Degree-increasing phase);(Connection among high-degree vertices phase),"[Structure  and number of shortest paths]\label{thm:structure-2}
Under the same conditions as in Theorem \ref{thm:distances}, there is a shortest path between $v_r, v_b$ that has the following structure, whp:

\begin{enumerate}
\item[(1)]\emph{(Degree-increasing phase)} For both $q\in\{r,b\}$, starting from $v_q$, a path segment of length $T_q({\beta_n})=\log \log (n^{{\beta_n}})/|\log (\tau-2)|+\Theta_{\Pv}(1)$ as in \eqref{def:ti-bi} ends with a vertex $v_q^\star$ with degree
 \be\label{eq:degree-at-segment} d_{v_q^\star}\sim n^{{\beta_n} (\tau-2)^{\bnq({\beta_n})}},\ee where $\bnq({\beta_n})$ is from \eqref{def:ti-bi}. The vertex $v_q^\star$ can be chosen to be the maximal degree vertex among all vertices that are reachable from $v_q$ on a path of length $T_q({\beta_n})$.
  For any $k<i_{\star\sss{(q)}}({\beta_n})$, the degree of the $(T_q({\beta_n})-k)$th vertex on the path between $v_q, v_q^\star$  is  $\sim n^{{\beta_n} (\tau-2)^{\bnq({\beta_n})+k}}$, where $i_{\star\sss{(q)}}({\beta_n})$ are tight random variables given below in \eqref{eq:value_i*-al} and \eqref{eq:istar-b}.

\item[(2)]\label{phase-2}\emph{(Connection among high-degree vertices phase)} A path of length
\be\label{eq:connecting-segment} \left\lceil    \frac{1/{\beta_n}-(\tau-2)^{b_n^{\sss{(r)}}({\beta_n})}-(\tau-2)^{b_n^{\sss{(b)}}({\beta_n})}}{3-\tau} \right\rceil +1\ee connects $v_r^\star, v_b^\star$ using only vertices with degree at least $n^{{\beta_n} f_n^\ell}$, where,  in agreement with Theorem \ref{thm:structure-1}, $f^\ell_n:=f^\ell({\beta_n}, (\tau-2)^{\bnr({\beta_n})}, (\tau-2)^{\bnb({\beta_n})})$.
Further, Phase (2) is valid for all shortest paths, whp. That is, whp, for any shortest path $\CP_{v_r, v_b}^\star$, the segment between the $T_r({\beta_n})$th and the $|\CP_{v_r, v_b}^\star|-T_b({\beta_n})$th vertex has length as in \eqref{eq:connecting-segment}, and it only contains vertices with degree at least $n^{{\beta_n} f^\ell_n}$.
\end{enumerate}
Finally, as a consequence of Theorem \ref{thm:structure-1}, the number of shortest paths between $v_r, v_b$ satisfies $\Pv_{\sss{Y}}-whp$
\[ \#\{ \CP_{v_r, v_b}^\star \}\sim n^{{\beta_n} f^u_n},\]
where $f^u_n:=f^u({\beta_n}, (\tau-2)^{\bnr({\beta_n})}, (\tau-2)^{\bnb({\beta_n})} )\in[0,1)$ fluctuates with $n$.
",/home/shufan/que_tex/truncated-degrees-arxiv-resubmit.tex,theorem + \emph{},"[Structure  and number of shortest paths]
Under the same conditions as in Theorem <ref>, there is a shortest path between v_r, v_b that has the following structure, whp:



  (1)(Degree-increasing phase) For both q∈{r,b}, starting from v_q, a path segment of length T_q(β_n)=loglog (n^β_n)/|log (τ-2)|+Θ_(1) as in (<ref>) ends with a vertex v_q^⋆ with degree
  d_v_q^⋆∼n^β_n (τ-2)^(β_n),where (β_n) is from (<ref>). The vertex v_q^⋆ can be chosen to be the maximal degree vertex among all vertices that are reachable from v_q on a path of length T_q(β_n).
  For any k<i_⋆(q)(β_n), the degree of the (T_q(β_n)-k)th vertex on the path between v_q, v_q^⋆  is  ∼ n^β_n (τ-2)^(β_n)+k, where i_⋆(q)(β_n) are tight random variables given below in (<ref>) and (<ref>).


  (2)(Connection among high-degree vertices phase) A path of length
 ⌈1/β_n-(τ-2)^b_n^(r)(β_n)-(τ-2)^b_n^(b)(β_n)/3-τ ⌉+1connects v_r^⋆, v_b^⋆ using only vertices with degree at least n^β_n f_n^ℓ, where,  in agreement with Theorem <ref>, f^ℓ_n:=f^ℓ(β_n, (τ-2)^(β_n), (τ-2)^(β_n)).
Further, Phase (2) is valid for all shortest paths, whp. That is, whp, for any shortest path _v_r, v_b^⋆, the segment between the T_r(β_n)th and the |_v_r, v_b^⋆|-T_b(β_n)th vertex has length as in (<ref>), and it only contains vertices with degree at least n^β_n f^ℓ_n.

Finally, as a consequence of Theorem <ref>, the number of shortest paths between v_r, v_b satisfies _Y-whp

    #{_v_r, v_b^⋆}∼ n^β_n f^u_n,

where f^u_n:=f^u(β_n, (τ-2)^(β_n), (τ-2)^(β_n) )∈[0,1) fluctuates with n.
",(Degree-increasing phase);(Connection among high-degree vertices phase),"[Structure  and number of shortest paths]
Under the same conditions as in Theorem <ref>, there is a shortest path between v_r, v_b that has the following structure, whp:



  (1)B_MATH_TERM I_MATH_TERM For both q∈{r,b}, starting from v_q, a path segment of length T_q(β_n)=loglog (n^β_n)/|log (τ-2)|+Θ_(1) as in (<ref>) ends with a vertex v_q^⋆ with degree
  d_v_q^⋆∼n^β_n (τ-2)^(β_n),where (β_n) is from (<ref>). The vertex v_q^⋆ can be chosen to be the maximal degree vertex among all vertices that are reachable from v_q on a path of length T_q(β_n).
  For any k<i_⋆(q)(β_n), the degree of the (T_q(β_n)-k)th vertex on the path between v_q, v_q^⋆  is  ∼ n^β_n (τ-2)^(β_n)+k, where i_⋆(q)(β_n) are tight random variables given below in (<ref>) and (<ref>).


  (2)B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM A path of length
 ⌈1/β_n-(τ-2)^b_n^(r)(β_n)-(τ-2)^b_n^(b)(β_n)/3-τ ⌉+1connects v_r^⋆, v_b^⋆ using only vertices with degree at least n^β_n f_n^ℓ, where,  in agreement with Theorem <ref>, f^ℓ_n:=f^ℓ(β_n, (τ-2)^(β_n), (τ-2)^(β_n)).
Further, Phase (2) is valid for all shortest paths, whp. That is, whp, for any shortest path _v_r, v_b^⋆, the segment between the T_r(β_n)th and the |_v_r, v_b^⋆|-T_b(β_n)th vertex has length as in (<ref>), and it only contains vertices with degree at least n^β_n f^ℓ_n.

Finally, as a consequence of Theorem <ref>, the number of shortest paths between v_r, v_b satisfies _Y-whp

    #{_v_r, v_b^⋆}∼ n^β_n f^u_n,

where f^u_n:=f^u(β_n, (τ-2)^(β_n), (τ-2)^(β_n) )∈[0,1) fluctuates with n.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
set of,"\label{def:MWC}
The non-empty subset $\M(\G)$ with
\begin{eqnarray}
\M(\G):=\{V\in\G\mid V\textnormal{ is a }MWC\}
\end{eqnarray}
is called the $MWC$-\emph{set of} $\G$ (respectively $\W$).
",/home/shufan/que_tex/0806.3906.tex,definition + \emph{},"
The non-empty subset () with

    ():={V∈| V is a MWC}

is called the MWC-set of  (respectively ).
",set of,"
The non-empty subset () with

    ():={V∈| V is a MWC}

is called the MWC-B_MATH_TERM I_MATH_TERM  (respectively ).
",O O O O O O O O O O O O O O I_MATH_TERM O O
weight class,An unordered triple $\omega$ is said to be a $d$-\emph{weight class} if there exists a $d$-minimal triangle $S$ satisfying $W(S) = \omega$.,/home/shufan/que_tex/report_sept17.tex,definition[],An unordered triple ω is said to be a d-weight class if there exists a d-minimal triangle S satisfying W(S) = ω.,weight class,An unordered triple ω is said to be a d-B_MATH_TERM I_MATH_TERM if there exists a d-minimal triangle S satisfying W(S) = ω.,O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O
weight class,"[weight class]
An unordered triple $\omega$ is said to be a $d$-\emph{weight class} if there exists a $d$-minimal triangle $S$ satisfying $W(S) = \omega$.  
",/home/shufan/que_tex/report_sept17.tex,definition + \emph{},"[weight class]
An unordered triple ω is said to be a d-weight class if there exists a d-minimal triangle S satisfying W(S) = ω.  
",weight class,"[weight class]
An unordered triple ω is said to be a d-B_MATH_TERM I_MATH_TERM if there exists a d-minimal triangle S satisfying W(S) = ω.  
",O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O
Parking Functions,"\label{def:classical}
A \emph{classical parking function} of length $n$ is a sequence $s \in [n]^n$ such that for all $i \in [n]$,
\[
|\{j : s_j \geq i\}| \leq n-i+1.
\]
Additionally, we may consider the case when $m \leq n$ drivers attempt to park. We call these $(n,m)$-parking functions and the definition is the same as in the classical case for $s \in [n]^m$.

% If the sequence $s$ is such that $s_i \leq s_{i+1}$ for all $i \geq 1$, we say the parking function is \emph{increasing} .",/home/shufan/que_tex/SourceDigraphs.tex,definition[],"
A classical parking function of length n is a sequence s ∈ [n]^n such that for all i ∈ [n],

    |{j : s_j ≥ i}| ≤ n-i+1.

Additionally, we may consider the case when m ≤ n drivers attempt to park. We call these (n,m)-parking functions and the definition is the same as in the classical case for s ∈ [n]^m.

",Parking Functions,"
A classical parking function of length n is a sequence s ∈ [n]^n such that for all i ∈ [n],

    |{j : s_j ≥ i}| ≤ n-i+1.

Additionally, we may consider the case when m ≤ n drivers attempt to park. We call these (n,m)-B_MATH_TERM I_MATH_TERM and the definition is the same as in the classical case for s ∈ [n]^m.

",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O
Sparse block partition,"\label{def:SparseBlockPart}
For $\epsilon>0$, $d>0$ and $\Delta>0$,  consider a graph  $G=(V,E)$  of maximum degree at most $\Delta$.
We say that $G$ admits a ``sparse block partition"" ${\cal B}={\cal B}(\epsilon,  d, \Delta)$ 
 if  $V$ can be partitioned  into the set of blocks  $ {\cal B}$ for which  the following is true:
\begin{enumerate}
\item Every $B\in {\cal B}$ is a tree with at most one extra edge.
\item Each vertex $v$ in the outer boundary of a multi-vertex block $B$ has the following  properties:
\begin{enumerate}
\item  $v$ is an $r$-breakpoint for $r> { \max\{ {\tt diam}(B),  \log\log n \}}$,
\item  $v$ has exactly one neighbor inside $B$,
\item  if $B$ contains a cycle $C$, then 
$\textstyle\distance(v,C)\geq \max \left \{2  \log(|C|\  \Delta),\   \frac{\log\log d}{\log d}\left( {|C|+\log \Delta} \right) \right\}$
\end{enumerate}
\item  Each vertex $u\in \outBound B$, for any $B\in {\cal B}$, 
does not belong to any cycle of length $<d^{2}$.
\end{enumerate}",/home/shufan/que_tex/GnpColor-2017-07-12Arxiv.tex,definition[],"
For ϵ>0, d>0 and Δ>0,  consider a graph  G=(V,E)  of maximum degree at most Δ.
We say that G admits a “sparse block partition"" B= B(ϵ,  d, Δ) 
 if  V can be partitioned  into the set of blocks  B for which  the following is true:


  * Every B∈ B is a tree with at most one extra edge.

  * Each vertex v in the outer boundary of a multi-vertex block B has the following  properties:


  * v is an r-breakpoint for r> max{ diam(B),  loglog n },

  * v has exactly one neighbor inside B,

  * if B contains a cycle C, then 
(v,C)≥max{2  log(|C| Δ), loglog d/log d( |C|+logΔ) }


  * Each vertex u∈ B, for any B∈ B, 
does not belong to any cycle of length <d^2.
",Sparse block partition,"
For ϵ>0, d>0 and Δ>0,  consider a graph  G=(V,E)  of maximum degree at most Δ.
We say that G admits a “B_MATH_TERM I_MATH_TERM I_MATH_TERM"" B= B(ϵ,  d, Δ) 
 if  V can be partitioned  into the set of blocks  B for which  the following is true:


  * Every B∈ B is a tree with at most one extra edge.

  * Each vertex v in the outer boundary of a multi-vertex block B has the following  properties:


  * v is an r-breakpoint for r> max{ diam(B),  loglog n },

  * v has exactly one neighbor inside B,

  * if B contains a cycle C, then 
(v,C)≥max{2  log(|C| Δ), loglog d/log d( |C|+logΔ) }


  * Each vertex u∈ B, for any B∈ B, 
does not belong to any cycle of length <d^2.
",O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
recurrence set,"
For $k,h\in\N$ with $h>1$, the $(h,k)$-\emph{recurrence set} of $A$ is the following set
of $h$-tuples:
$$R_{k}^{h}(A)=\left\{\{t_1<\ldots<t_h\}\in[\N]^h\,\big|\,
|(A+t_1)\cap\ldots\cap(A+t_h)|\ge k\right\}.$$
",/home/shufan/que_tex/1411.7832.tex,definition + \emph{},"
For k,h∈ with h>1, the (h,k)-recurrence set of A is the following set
of h-tuples:

    R_k^h(A)={{t_1<…<t_h}∈[]^h | 
    |(A+t_1)∩…∩(A+t_h)|≥ k}.

",recurrence set,"
For k,h∈ with h>1, the (h,k)-B_MATH_TERM I_MATH_TERM of A is the following set
of h-tuples:

    R_k^h(A)={{t_1<…<t_h}∈[]^h | 
    |(A+t_1)∩…∩(A+t_h)|≥ k}.

",O O O O O O I_MATH_TERM O O O O O O O O O O O O
Fractional factorization,"Let \(k\) and \(\ell\) be positive integers such that $k-\ell$ is a 
positive even number. Let $G=(V,E)$ be a graph and let \(X\subset V\).
We say that a partition \(\mathcal{F}=\{M_1,\ldots,M_\ell,F_1,\ldots,F_{(k-\ell)/2}\}\) of $E$ is an 
\emph{\((X,\ell,k)\)-fractional factorization} of $G$ if the following holds.
	\begin{itemize}
		\item \(M_i\) is an \((X,1,k)\)-factor of $G$, for $1\leq i\leq \ell$;
		\item \(F_j\) is an Eulerian \((X,2,k)\)-factor of $G$, for $1\leq j\leq (k-\ell)/2$.	
	\end{itemize}",/home/shufan/que_tex/Pk-decomposition.tex,definition[],"Let k and ℓ be positive integers such that k-ℓ is a 
positive even number. Let G=(V,E) be a graph and let X⊂ V.
We say that a partition ℱ={M_1,…,M_ℓ,F_1,…,F_(k-ℓ)/2} of E is an 
(X,ℓ,k)-fractional factorization of G if the following holds.
	
		
  * M_i is an (X,1,k)-factor of G, for 1≤ i≤ℓ;
		
  * F_j is an Eulerian (X,2,k)-factor of G, for 1≤ j≤ (k-ℓ)/2.	
	",Fractional factorization,"Let k and ℓ be positive integers such that k-ℓ is a 
positive even number. Let G=(V,E) be a graph and let X⊂ V.
We say that a partition ℱ={M_1,…,M_ℓ,F_1,…,F_(k-ℓ)/2} of E is an 
(X,ℓ,k)-B_MATH_TERM I_MATH_TERM of G if the following holds.
	
		
  * M_i is an (X,1,k)-factor of G, for 1≤ i≤ℓ;
		
  * F_j is an Eulerian (X,2,k)-factor of G, for 1≤ j≤ (k-ℓ)/2.	
	",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O
