term,def,file_name,extraction_rule,plain_text_def,plain_text_term,masked_plain_text_def,labeled_def
simple," \label{prelim:def:simple}
        An permutation $\pi \in \S_n$ whose only intervals have size $1$ and $n$ is
        called \emph{simple}. 
      ",/home/shufan/que_tex/diss.tex,definition + \emph{}," 
        An permutation π∈_n whose only intervals have size 1 and n is
        called simple. 
      ",simple," 
        An permutation π∈_n whose only intervals have size 1 and n is
        called B_MATH_TERM. 
      ",O O O O O O O O O O O O O O
compatible," \label{polyclass:def:pegpattern}
        Let $\tro = \tro_1 \tro_2 \dots \tro_n$ and $\ttau = \ttau_1 \ttau_2 \dots
        \ttau_k$ be peg permutations. Say that $\ttau$ is contained within $\tro$ if
        there is a subsequence $\tro_{i_1} \tro_{i_2} \dots \tro_{i_k}$, whose
        entries lie in the same relative order as those of $\ttau$ and whose
        decorations are \emph{compatible}, meaning that $\tro_{i_j}$ either have
        the same decoration or $\ttau_j$ is decorated with a dot. 
      ",/home/shufan/que_tex/diss.tex,definition + \emph{}," 
        Let = _1 _2 …_n and = _1 _2 …_k be peg permutations. Say that  is contained within  if
        there is a subsequence _i_1_i_2…_i_k, whose
        entries lie in the same relative order as those of  and whose
        decorations are compatible, meaning that _i_j either have
        the same decoration or _j is decorated with a dot. 
      ",compatible," 
        Let = _1 _2 …_n and = _1 _2 …_k be peg permutations. Say that  is contained within  if
        there is a subsequence _i_1_i_2…_i_k, whose
        entries lie in the same relative order as those of  and whose
        decorations are B_MATH_TERM, meaning that _i_j either have
        the same decoration or _j is decorated with a dot. 
      ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
c.f.,"[\textit{c.f.} Reiner--Stanton \cite{ReinerStanton}]\label{thm:main}
  The triple
  \[
  \left( G_k(V_\alpha), \sum_{\lambda \subset (n-k)^k}
    \wt(\lambda;\alpha,k) ,\ T_\alpha \right)
  \]
  exhibits the cyclic sieving phenomenon.
",/home/shufan/que_tex/1106.1928.tex,theorem + \textit{},"[c.f. Reiner–Stanton <cit.>]
  The triple
  
    ( G_k(V_α), ∑_λ⊂ (n-k)^k(λ;α,k) , T_α)

  exhibits the cyclic sieving phenomenon.
",c.f.,"[B_MATH_TERM Reiner–Stanton <cit.>]
  The triple
  
    ( G_k(V_α), ∑_λ⊂ (n-k)^k(λ;α,k) , T_α)

  exhibits the cyclic sieving phenomenon.
",O O O O O O O O O O O O O O O O
regular,"\label{def2}
A graph $ G $ is said to be ($k_{1},k_{2}$)-\textit{regular} if $ \textrm{Deg}(G)=\{k_{1}, k_{2}\} $ and no adjacent vertices have the same degree.
",/home/shufan/que_tex/Pourhadi_Faghani.tex,definition + \textit{},"
A graph G is said to be (k_1,k_2)-regular if Deg(G)={k_1, k_2} and no adjacent vertices have the same degree.
",regular,"
A graph G is said to be (k_1,k_2)-B_MATH_TERM if Deg(G)={k_1, k_2} and no adjacent vertices have the same degree.
",O O O O O O O O O O O O O O O O O O O
$r^{\textrm{th,"
Let $r$ be an integer with $0 \leq r \leq n$. The \emph{$r^{\textrm{th}}$ layer} of the $G$-independent hypercube, $Q^{(r)}(G)$, is the collection of all $G$-independent subsets of $[n]$ of size $r$.
",/home/shufan/que_tex/spernersubmit.tex,definition + \emph{},"
Let r be an integer with 0 ≤ r ≤ n. The r^th layer of the G-independent hypercube, Q^(r)(G), is the collection of all G-independent subsets of [n] of size r.
",r^th,"
Let r be an integer with 0 ≤ r ≤ n. The B_MATH_TERMlayer of theG-independent hypercube,Q^(r)(G), is the collection of allG-independent subsets of[n]of sizer.",O O O O O O O O O O O O O O O O O O O O O O O O
Greedy," \label{mainresult}
  Let $\textbf{S}\subseteq\textbf{T}(n,k)$ be closed under rotations, and let $\alpha,\beta\in\textbf{S}$. Then $\beta$ is a substring of $\textit{Greedy}_\alpha(\textbf{S})$ (treated as a cycle) if and only if $\beta$ is increasable in $\textbf{S}$ to a rotation of $\alpha$.
  
  Thus, if $\textbf{S}\subseteq\textbf{T}(n,k)$ is closed under rotations, then $\textbf{S}\in\mathcal{G}(n,k)$ if and only if there exists an $\alpha\in\textbf{S}$ such that every $\beta\in\textbf{S}$ is increasable in $\textbf{S}$ to $\alpha$. 
",/home/shufan/que_tex/1805.11641.tex,theorem + \textit{}," 
  Let S⊆T(n,k) be closed under rotations, and let α,β∈S. Then β is a substring of Greedy_α(S) (treated as a cycle) if and only if β is increasable in S to a rotation of α.
  
  Thus, if S⊆T(n,k) is closed under rotations, then S∈𝒢(n,k) if and only if there exists an α∈S such that every β∈S is increasable in S to α. 
",Greedy," 
  Let S⊆T(n,k) be closed under rotations, and let α,β∈S. Then β is a substring of B_MATH_TERM_α(S) (treated as a cycle) if and only if β is increasable in S to a rotation of α.
  
  Thus, if S⊆T(n,k) is closed under rotations, then S∈𝒢(n,k) if and only if there exists an α∈S such that every β∈S is increasable in S to α. 
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"$(s,k;m_1,m_2)$-truncation;$(1;m_1,m_2)$-truncation","
If the facets intersecting $F$ by $E_1$ and $E_2$ (see Fig. \ref{skfig}) are $m_1$- and $m_2$-gons respectively, then we also call the corresponding operation an \emph{$(s,k;m_1,m_2)$-truncation}.\index{$(s,k;m_1,m_2)$-truncation}\index{polytope!$(s,k;m_1,m_2)$-truncation}

For $s=1$ combinatorially $(1,k;m_1,m_2)$-truncation is the same
operation as $(1,t;m_1,m_2)$-truncation of the same edge of the other facet
containing it. We call this operation simply a \emph{$(1;m_1,m_2)$-truncation}.\index{$(1;m_1,m_2)$-truncation}\index{polytope!$(1;m_1,m_2)$-truncation}
",/home/shufan/que_tex/Lectures-F.tex,definition + \emph{},"
If the facets intersecting F by E_1 and E_2 (see Fig. <ref>) are m_1- and m_2-gons respectively, then we also call the corresponding operation an (s,k;m_1,m_2)-truncation.(s,k;m_1,m_2)-truncationpolytope!(s,k;m_1,m_2)-truncation

For s=1 combinatorially (1,k;m_1,m_2)-truncation is the same
operation as (1,t;m_1,m_2)-truncation of the same edge of the other facet
containing it. We call this operation simply a (1;m_1,m_2)-truncation.(1;m_1,m_2)-truncationpolytope!(1;m_1,m_2)-truncation
","(s,k;m_1,m_2)-truncation;(1;m_1,m_2)-truncation","
If the facets intersecting F by E_1 and E_2 (see Fig. <ref>) are m_1- and m_2-gons respectively, then we also call the corresponding operation an B_MATH_TERM.(s,k;m_1,m_2)-truncationpolytope!(s,k;m_1,m_2)-truncation

For s=1 combinatorially (1,k;m_1,m_2)-truncation is the same
operation as (1,t;m_1,m_2)-truncation of the same edge of the other facet
containing it. We call this operation simply a B_MATH_TERM.(1;m_1,m_2)-truncationpolytope!(1;m_1,m_2)-truncation
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
locally-$L$," \label{def:locally}
Let $L$ be a permutation group, let $\Gamma$ be a $G$-vertex-transitive graph and let $v$ be a vertex of $\Gamma$. We denote by $G_v^{\Gamma(v)}$ the permutation group induced by the stabiliser $G_v$ of the vertex $v\in \V\Gamma$ on the neighbourhood $\Gamma(v)$. If $G_v^{\Gamma(v)}$ is permutation isomorphic to $L$, then we say that $(\Gamma,G)$ is \emph{locally-$L$}. 
",/home/shufan/que_tex/Cubic120125.tex,definition + \emph{}," 
Let L be a permutation group, let Γ be a G-vertex-transitive graph and let v be a vertex of Γ. We denote by G_v^Γ(v) the permutation group induced by the stabiliser G_v of the vertex v∈Γ on the neighbourhood Γ(v). If G_v^Γ(v) is permutation isomorphic to L, then we say that (Γ,G) is locally-L. 
",locally-L," 
Let L be a permutation group, let Γ be a G-vertex-transitive graph and let v be a vertex of Γ. We denote by G_v^Γ(v) the permutation group induced by the stabiliser G_v of the vertex v∈Γ on the neighbourhood Γ(v). If G_v^Γ(v) is permutation isomorphic to L, then we say that (Γ,G) is B_MATH_TERM. 
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
cricket-free,"
Any graph isomorphic to the graph with set of vertices $\{w_1,w_2,w_3,w_4,\\w_5\}$ and set of edges $\{w_1w_3,w_2w_3,w_3w_4,w_3w_5,w_4w_5\}$ is called a cricket.
A graph without an induced cricket is called \emph{cricket-free}. 
",/home/shufan/que_tex/1406.0456.tex,definition + \emph{},"
Any graph isomorphic to the graph with set of vertices {w_1,w_2,w_3,w_4,
w_5} and set of edges {w_1w_3,w_2w_3,w_3w_4,w_3w_5,w_4w_5} is called a cricket.
A graph without an induced cricket is called cricket-free. 
",cricket-free,"
Any graph isomorphic to the graph with set of vertices {w_1,w_2,w_3,w_4,
w_5} and set of edges {w_1w_3,w_2w_3,w_3w_4,w_3w_5,w_4w_5} is called a cricket.
A graph without an induced cricket is called B_MATH_TERM. 
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
double-magical,"\label{2magic}
	A {\em triple-ordered graph} $G_{<_{1},<_{2},<_{3}}$ is called \emph{double-magical}, if there exist two magical graphs $G^{1}_{<_{1},<_{2}}$ and $G^{2}_{<_{1},<_{3}}$ on $V(G)$  such that  $E(G_{<_{1},<_{2},<_{3}})=E(G^{1}_{<_{1},<_{2}})\cap E(G^{2}_{<_{1},<_{3}})$. An {\em unordered graph} $G$ is said to be {\em double-magical} if there exist three total orders $<_{1},<_{2},<_{3}$ on $V(G)$ such that the triple-ordered graph $G_{<_{1},<_{2},<_{3}}$ is double-magical.% We say that $G$ is {\em witnessed} by $(<_{1},<_{2},<_{3})$.
",/home/shufan/que_tex/1902.09810.tex,definition + \emph{},"
	A triple-ordered graph G_<_1,<_2,<_3 is called double-magical, if there exist two magical graphs G^1_<_1,<_2 and G^2_<_1,<_3 on V(G)  such that  E(G_<_1,<_2,<_3)=E(G^1_<_1,<_2)∩ E(G^2_<_1,<_3). An unordered graph G is said to be double-magical if there exist three total orders <_1,<_2,<_3 on V(G) such that the triple-ordered graph G_<_1,<_2,<_3 is double-magical.
",double-magical,"
	A triple-ordered graph G_<_1,<_2,<_3 is called B_MATH_TERM, if there exist two magical graphs G^1_<_1,<_2 and G^2_<_1,<_3 on V(G)  such that  E(G_<_1,<_2,<_3)=E(G^1_<_1,<_2)∩ E(G^2_<_1,<_3). An unordered graph G is said to be double-magical if there exist three total orders <_1,<_2,<_3 on V(G) such that the triple-ordered graph G_<_1,<_2,<_3 is double-magical.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
$P$-isolated,"Suppose $\cvec c= c_{i-p}\cdots c_i\cdots c_{i+p}$
is a recurrent subcomposition.
If no $c_j$, except possibly $c_i$, exceeds $P$,
we call $c_i$ {\em $P$-isolated}.",/home/shufan/que_tex/1208.0870.tex,definition[],"Suppose c= c_i-p⋯ c_i⋯ c_i+p
is a recurrent subcomposition.
If no c_j, except possibly c_i, exceeds P,
we call c_i P-isolated.",P-isolated,"Suppose c= c_i-p⋯ c_i⋯ c_i+p
is a recurrent subcomposition.
If no c_j, except possibly c_i, exceeds P,
we call c_i B_MATH_TERM.",O O O O O O O O O O O O O O O O O O O O O
Steingr{\'{\i;Steingr{\'{\i,"\label{BnStDes}
Totally order the elements of $\{\omega^0,\omega^1,\ldots,\omega^{r-1}\}\times [n]$ by $j^{c_j}<k^{c_k}$ if $c_j<c_k$ or if both $c_j=c_k$ and $j<k$ hold.
For an element $(\pi, \s) = [\pi(1)^{c_1} \, \pi(2)^{c_2} \, \cdots \, \pi(n)^{c_n}]$ in $\Z_r \wr S_n$, \emph{Steingr{\'{\i}}msson's descent set} is 
\begin{equation}\label{Steinwreathdescentdef}
  \StDes(\pi, \s) := \bigl\{ j \in \left\{ 1, \dots, n \right\} : \, \pi(j)^{c_j}>\pi(j+1)^{c_{j+1}} \bigr\} .
\end{equation}
\emph{Steingr{\'{\i}}msson's descent statistic} is $\stdes (\pi,\s) := \#\StDes(\pi,\s)$.
",/home/shufan/que_tex/eulerianpol_ACCEPTED_Advances_May_2013.tex,definition + \emph{},"
Totally order the elements of {ω^0,ω^1,…,ω^r-1}× [n] by j^c_j<k^c_k if c_j<c_k or if both c_j=c_k and j<k hold.
For an element (π, ) = [π(1)^c_1 π(2)^c_2 ⋯ π(n)^c_n] in _r ≀ S_n, Steingrímsson's descent set is 

    (π, ) := { j ∈{ 1, …, n } :  π(j)^c_j>π(j+1)^c_j+1} .

Steingrímsson's descent statistic is (π,) := #(π,).
",Steingrí;́Śt́éíńǵŕí́,"
Totally order the elements of {ω^0,ω^1,…,ω^r-1}× [n] by j^c_j<k^c_k if c_j<c_k or if both c_j=c_k and j<k hold.
For an element (π, ) = [π(1)^c_1 π(2)^c_2 ⋯ π(n)^c_n] in _r ≀ S_n, B_MATH_TERMmsson's descent set is 

    (π, ) := { j ∈{ 1, …, n } :  π(j)^c_j>π(j+1)^c_j+1} .

B_MATH_TERMmsson's descent statistic is (π,) := #(π,).
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"$(K,\mathbf{q","[$(K,\mathbf{q})$-bounded]\label{def:bounded}
  Let $\mathbf{H}=(\cH_n)_{n\in\mathbb{N}}$ be a sequence of $n$-vertex
  $r$-uniform hypergraphs, $\mathbf{q}=(q_n)_{n\in\mathbb{N}}$ be a
  sequence of probabilities, and $K\geq 1$ be a constant. We say that
  $\mathbf{H}$ is \emph{$(K,\mathbf{q})$-bounded} if the following holds.
  % 
  For each $i\in[\binom{r}{2}-1]$ there exists $n_0$ such that for each
  $n\geq n_0$ and $q\geq q_n$ we have
  \[\mu_i(\cH_n,q)\leq Kq^{2i}\cdot\frac{e(\cH_n)^2}{n^2}\,.\]
",/home/shufan/que_tex/TuranModification.tex,definition + \emph{},"[(K,𝐪)-bounded]
  Let 𝐇=(_n)_n∈ℕ be a sequence of n-vertex
  r-uniform hypergraphs, 𝐪=(q_n)_n∈ℕ be a
  sequence of probabilities, and K≥ 1 be a constant. We say that
  𝐇 is (K,𝐪)-bounded if the following holds.
  
  For each i∈[r2-1] there exists n_0 such that for each
  n≥ n_0 and q≥ q_n we have
  
    μ_i(_n,q)≤ Kq^2i·e(_n)^2/n^2 .

","(K,𝐪","[(K,𝐪)-bounded]
  Let 𝐇=(_n)_n∈ℕ be a sequence of n-vertex
  r-uniform hypergraphs, 𝐪=(q_n)_n∈ℕ be a
  sequence of probabilities, and K≥ 1 be a constant. We say that
  𝐇 is B_MATH_TERM)-bounded if the following holds.
  
  For eachi∈[r2-1]there existsn_0such that for eachn≥n_0andq≥q_nwe have
  
    μ_i(_n,q)≤ Kq^2i·e(_n)^2/n^2 .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Functions of type $<k$,"\label{fin-def} Let $(G,+)$ be a discrete countable abelian  group, let $\X = (X, \B_X, \mu_X, (T_g)_{g \in G})$ be a $G$-system, and let $U = (U,\cdot)$ be a compact abelian group.  Let $k \geq 0$, and let $\X^{[k]} = (X^{[k]}, \B^{[k]}, \mu^{[k]}, (T_g^{[k]})_{g \in G} )$ be the $G$-system defined in Definition \ref{cubichk-def}.  
\begin{itemize}
\item For each $f \in M(\X,U)$, we define $d^{[k]} f \in M(\X^{[k]},U)$ to be the function
$$ d^{[k]} f((x_\w)_{\w \in \2^k}) := \prod_{\w \in \2^k} f(x_\w)^{\sgn(\w)}$$
where $\sgn(w_1,\ldots,w_k) := w_1 \ldots w_k \in \{-1,+1\}$.    
\item Similarly, for each $\rho \in M(G,\X,U)$, we define $d^{[k]} \rho \in M(G, \X^{[k]}, U)$ to be the function
$$ d^{[k]} \rho(g,(x_\w)_{\w \in \2^k}) := \prod_{\w \in \2^k} \rho(g, x_\w)^{\sgn(\w)}.$$
\item A \emph{$(G,\X,U)$-function of type $<k$} is any function $\rho \in M(G,\X,U)$ such that $d^{[k]} \rho$ is a $(G,\X^{[k]},U)$-coboundary.  We let $M_{<k}(G,\X,U)$ denote the space of $(G,\X,U)$-functions of type $<k$, and let $Z^1_{<k}(G,\X,U) := Z^1(G,\X,U) \cap M_{<k}(G,\X,U)$ 
denote the space of $(G,\X,U)$-cocycles of type $<k$.  % We also write $M_{<\omega}(G,\X,U) := \bigcup_k M_{<k}(G,\X,U)$ and $Z^1_{<\omega}(G,\X,U) = \bigcup_k Z^1_{<k}(G,\X,U)$.
\end{itemize}",/home/shufan/que_tex/0901.2602.tex,definition[]," Let (G,+) be a discrete countable abelian  group, let = (X, _X, μ_X, (T_g)_g ∈ G) be a G-system, and let U = (U,·) be a compact abelian group.  Let k ≥ 0, and let ^[k] = (X^[k], ^[k], μ^[k], (T_g^[k])_g ∈ G ) be the G-system defined in Definition <ref>.  


  * For each f ∈ M(,U), we define d^[k] f ∈ M(^[k],U) to be the function

    d^[k] f((x_)_∈^k) := ∏_∈^k f(x_)^()

where (w_1,…,w_k) := w_1 … w_k ∈{-1,+1}.    

  * Similarly, for each ρ∈ M(G,,U), we define d^[k]ρ∈ M(G, ^[k], U) to be the function

    d^[k]ρ(g,(x_)_∈^k) := ∏_∈^kρ(g, x_)^().


  * A (G,,U)-function of type <k is any function ρ∈ M(G,,U) such that d^[k]ρ is a (G,^[k],U)-coboundary.  We let M_<k(G,,U) denote the space of (G,,U)-functions of type <k, and let Z^1_<k(G,,U) := Z^1(G,,U) ∩ M_<k(G,,U) 
denote the space of (G,,U)-cocycles of type <k.  
",Functions of type <k," Let (G,+) be a discrete countable abelian  group, let = (X, _X, μ_X, (T_g)_g ∈ G) be a G-system, and let U = (U,·) be a compact abelian group.  Let k ≥ 0, and let ^[k] = (X^[k], ^[k], μ^[k], (T_g^[k])_g ∈ G ) be the G-system defined in Definition <ref>.  


  * For each f ∈ M(,U), we define d^[k] f ∈ M(^[k],U) to be the function

    d^[k] f((x_)_∈^k) := ∏_∈^k f(x_)^()

where (w_1,…,w_k) := w_1 … w_k ∈{-1,+1}.    

  * Similarly, for each ρ∈ M(G,,U), we define d^[k]ρ∈ M(G, ^[k], U) to be the function

    d^[k]ρ(g,(x_)_∈^k) := ∏_∈^kρ(g, x_)^().


  * A (G,,U)-function of type <k is any function ρ∈ M(G,,U) such that d^[k]ρ is a (G,^[k],U)-coboundary.  We let M_<k(G,,U) denote the space of (G,,U)-B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM, and let Z^1_<k(G,,U) := Z^1(G,,U) ∩ M_<k(G,,U) 
denote the space of (G,,U)-cocycles of type <k.  
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O
triangular extreme,"[$\nu$-triangular extremality]
We say that a graph $H$ on $n$ vertices is $\nu$-\emph{triangular extreme} if it contains at least $(1-\nu)n/3$ vertex disjoint triangles, 
here $0<\varepsilon\ll d\ll \nu\ll 1.$
",/home/shufan/que_tex/1707.07216.tex,definition + \emph{},"[ν-triangular extremality]
We say that a graph H on n vertices is ν-triangular extreme if it contains at least (1-ν)n/3 vertex disjoint triangles, 
here 0<ε≪ d≪ν≪ 1.
",triangular extreme,"[ν-triangular extremality]
We say that a graph H on n vertices is ν-B_MATH_TERM I_MATH_TERM if it contains at least (1-ν)n/3 vertex disjoint triangles, 
here 0<ε≪ d≪ν≪ 1.
",O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O
Separate,"If $A,B\subseteq V$ and $X\subseteq V\cup E$ are such that every
\emph{A-B} path in $G$ contains a vertex or an edge from $X$, we
say that $X$ \emph{separates} the sets $A$ and $B$ in $G$. More
generally we say that $X$ \emph{separates} $G$ if $G-X$ is
disconnected, that is, if $X$ separates in $G$ some two vertices
that are not in $X$. A separating set of vertices is a
\emph{separator}.
%",/home/shufan/que_tex/RR-6481.tex,definition[],"If A,B⊆ V and X⊆ V∪ E are such that every
A-B path in G contains a vertex or an edge from X, we
say that X separates the sets A and B in G. More
generally we say that X separates G if G-X is
disconnected, that is, if X separates in G some two vertices
that are not in X. A separating set of vertices is a
separator.
",Separate,"If A,B⊆ V and X⊆ V∪ E are such that every
A-B path in G contains a vertex or an edge from X, we
say that X B_MATH_TERMs the sets A and B in G. More
generally we say that X B_MATH_TERMs G if G-X is
disconnected, that is, if X B_MATH_TERMs in G some two vertices
that are not in X. A separating set of vertices is a
separator.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Matching,"A set $M$ of independent edges in a graph $G=(V,E)$ is called a
\emph{matching}.
%$M$ is a matching of $U\subseteq V$ if every
%vertex in $U$ is incident with an edge in $M$. The vertices in $U$
%are then called \emph{matched} (by $M$); vertices not incident
%with any edge of $M$ are \emph{unmatched}.
%",/home/shufan/que_tex/RR-6481.tex,definition[],"A set M of independent edges in a graph G=(V,E) is called a
matching.




",Matching,"A set M of independent edges in a graph G=(V,E) is called a
B_MATH_TERM.




",O O O O O O O O O O O O O O
$k$-factor,"A $k$-regular spanning subgraph is called a $k$-factor. Thus, a subgraph
$H\subseteq G$ is a 1-factor of $G$ if and only if $E(H)$ is a matching of
$V$.
%",/home/shufan/que_tex/RR-6481.tex,definition[],"A k-regular spanning subgraph is called a k-factor. Thus, a subgraph
H⊆ G is a 1-factor of G if and only if E(H) is a matching of
V.
",k-factor,"A k-regular spanning subgraph is called a B_MATH_TERM. Thus, a subgraph
H⊆ G is a 1-factor of G if and only if E(H) is a matching of
V.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O
cut-vertex;bridge,"[Cut-vertex; Bridge]
A vertex which separates two other vertices of the same component is a
\emph{cut-vertex}, and an edge separating its ends is a \emph{bridge}.
Thus, the bridges in a graph are precisely those edges that do not lie on
any cycle.
%",/home/shufan/que_tex/RR-6481.tex,definition + \emph{},"[Cut-vertex; Bridge]
A vertex which separates two other vertices of the same component is a
cut-vertex, and an edge separating its ends is a bridge.
Thus, the bridges in a graph are precisely those edges that do not lie on
any cycle.
",cut-vertex;bridge,"[Cut-vertex; Bridge]
A vertex which separates two other vertices of the same component is a
B_MATH_TERM, and an edge separating its ends is a B_MATH_TERM.
Thus, the bridges in a graph are precisely those edges that do not lie on
any cycle.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
matching;matched;unmatched,"[Matching]
A set $M$ of independent edges in a graph $G=(V,E)$ is called a
\emph{matching}.
%$M$ is a matching of $U\subseteq V$ if every
%vertex in $U$ is incident with an edge in $M$. The vertices in $U$
%are then called \emph{matched} (by $M$); vertices not incident
%with any edge of $M$ are \emph{unmatched}.
%",/home/shufan/que_tex/RR-6481.tex,definition + \emph{},"[Matching]
A set M of independent edges in a graph G=(V,E) is called a
matching.




",matching;matched;unmatched,"[Matching]
A set M of independent edges in a graph G=(V,E) is called a
B_MATH_TERM.




",O O O O O O O O O O O O O O O
transitive,"

A group $\Gamma \leq S_n$ is called \textit{transitive}, if for every $i,j \in [n]$, there exists an element $\pi \in \Gamma$, so that $\pi(i)=j$.

",/home/shufan/que_tex/test.tex,definition + \textit{},"

A group Γ≤ S_n is called transitive, if for every i,j ∈ [n], there exists an element π∈Γ, so that π(i)=j.

",transitive,"

A group Γ≤ S_n is called B_MATH_TERM, if for every i,j ∈ [n], there exists an element π∈Γ, so that π(i)=j.

",O O O O O O O O O O O O O O O O O O O O O
Approximate group,"\label{def:app.grp}
Let $G$ be a (multiplicative) group and let $K\ge1$. A finite set $A\subset G$ is called a \emph{$K$-approximate (sub)group} if
\begin{enumerate}
\renewcommand{\labelenumi}{(\roman{enumi})}
\item it is symmetric, which is to say that $A^{-1}=A$, and contains the identity;
\item there is a symmetric subset $X$ with $|X|\le K$ such that $A^2\subset XA$.
\end{enumerate}
If $A$ generates a nilpotent subgroup of step $s$ then we say that $A$ is an \emph{$s$-step $K$-approximate group}.",/home/shufan/que_tex/1211.3989.tex,definition[],"
Let G be a (multiplicative) group and let K≥1. A finite set A⊂ G is called a K-approximate (sub)group if



  * it is symmetric, which is to say that A^-1=A, and contains the identity;

  * there is a symmetric subset X with |X|≤ K such that A^2⊂ XA.

If A generates a nilpotent subgroup of step s then we say that A is an s-step K-approximate group.",Approximate group,"
Let G be a (multiplicative) group and let K≥1. A finite set A⊂ G is called a K-approximate (sub)group if



  * it is symmetric, which is to say that A^-1=A, and contains the identity;

  * there is a symmetric subset X with |X|≤ K such that A^2⊂ XA.

If A generates a nilpotent subgroup of step s then we say that A is an s-step K-B_MATH_TERM I_MATH_TERM.",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
e.g.,"
  If $P$ is a $(3+1)$-free poset, then for each compatible listing $(X_1, X_2, \ldots, X_{r+s})$ of its clone sets and tangles, we can obtain a word in $\Sigma^*$ by replacing each clone set at level $i$ by the letter $c_i$ and each tangle straddling levels $\{i, i+1\}$ by the letter $t_{i\,i+1}$.
It can be seen that any two compatible listings for $P$ are related by a sequence of valid swaps, so the set of these words is an equivalence class under the commutation relations for $M$ (see, \textit{e.g.}, \cite[Chapter~1]{VCT}), and the corresponding element of $M$ is called the \emph{skeleton} of $P$.
",/home/shufan/que_tex/guay-paquet-morales-rowland13.tex,definition + \textit{},"
  If P is a (3+1)-free poset, then for each compatible listing (X_1, X_2, …, X_r+s) of its clone sets and tangles, we can obtain a word in Σ^* by replacing each clone set at level i by the letter c_i and each tangle straddling levels {i, i+1} by the letter t_i i+1.
It can be seen that any two compatible listings for P are related by a sequence of valid swaps, so the set of these words is an equivalence class under the commutation relations for M (see, e.g., <cit.>), and the corresponding element of M is called the skeleton of P.
",e.g.,"
  If P is a (3+1)-free poset, then for each compatible listing (X_1, X_2, …, X_r+s) of its clone sets and tangles, we can obtain a word in Σ^* by replacing each clone set at level i by the letter c_i and each tangle straddling levels {i, i+1} by the letter t_i i+1.
It can be seen that any two compatible listings for P are related by a sequence of valid swaps, so the set of these words is an equivalence class under the commutation relations for M (see, B_MATH_TERM, <cit.>), and the corresponding element of M is called the skeleton of P.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
itinerary,"
The string of L's, R's, and O's corresponding to the location of a given coin in every weighing is called the coin's \textit{itinerary}.
",/home/shufan/que_tex/Alternators2.tex,definition + \textit{},"
The string of L's, R's, and O's corresponding to the location of a given coin in every weighing is called the coin's itinerary.
",itinerary,"
The string of L's, R's, and O's corresponding to the location of a given coin in every weighing is called the coin's B_MATH_TERM.
",O O O O O O O O O O O O O O O O O O O O O O O
part;part,"
For divisors $\calD,\calE$, denote  
$$
(\calD\cap \calE)(v)=\min(\calD(v),\calE(v))
$$
and
$$
(\calD\cup \calE)(v)=\max(\calD(v),\calE(v)).
$$ 
For a divisor $\calD$, we define its $\calP$-\emph{part} as $\calD^\calP=\calD\cap \calP$, and its $\calQ$-\emph{part} as $\calD^\calQ=\calD\cap \calQ$.
",/home/shufan/que_tex/Clifford_for_complexes.tex,definition + \emph{},"
For divisors ,, denote  

    (∩)(v)=min((v),(v))

and

    (∪)(v)=max((v),(v)).
 
For a divisor , we define its -part as ^=∩, and its -part as ^=∩.
",part;part,"
For divisors ,, denote  

    (∩)(v)=min((v),(v))

and

    (∪)(v)=max((v),(v)).
 
For a divisor , we define its -B_MATH_TERM as ^=∩, and its -B_MATH_TERM as ^=∩.
",O O O O O O O O O O O O O O O O O O O O O O
